time,temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm),wind_speed_10m_max (m/s)
2025-01-01,8.8,0.00,0.00,2.75
2025-01-02,10.3,0.00,0.00,2.90
2025-01-03,11.0,10.00,0.00,6.37
2025-01-04,9.8,0.20,0.00,4.45
2025-01-05,9.8,0.00,0.00,1.63
2025-01-06,10.9,0.00,0.00,2.01
2025-01-07,13.1,0.00,0.00,8.10
2025-01-08,13.5,0.00,0.00,6.67
2025-01-09,11.2,0.00,0.00,2.91
2025-01-10,11.7,0.00,0.00,4.45
2025-01-11,12.0,0.00,0.00,6.12
2025-01-12,13.8,0.00,0.00,7.80
2025-01-13,11.5,0.00,0.00,6.60
2025-01-14,10.1,0.00,0.00,2.72
2025-01-15,9.8,0.00,0.00,2.42
2025-01-16,9.9,0.00,0.00,2.20
2025-01-17,10.7,0.00,0.00,3.53
2025-01-18,9.1,0.00,0.00,3.50
2025-01-19,8.8,0.00,0.00,2.61
2025-01-20,9.5,0.00,0.00,5.80
2025-01-21,10.3,0.00,0.00,5.12
2025-01-22,10.1,0.00,0.00,2.95
2025-01-23,12.2,0.00,0.00,4.29
2025-01-24,10.9,0.00,0.00,2.74
2025-01-25,10.4,0.00,0.00,3.40
2025-01-26,9.7,0.00,0.00,6.67
2025-01-27,9.2,0.00,0.00,4.36
2025-01-28,9.1,0.00,0.00,3.27
2025-01-29,10.0,0.00,0.00,3.57
2025-01-30,8.7,0.00,0.00,3.15
2025-01-31,9.6,10.30,0.00,5.29
2025-02-01,12.4,17.60,0.00,7.05
2025-02-02,14.0,6.00,0.00,7.75
2025-02-03,13.4,2.70,0.00,7.41
2025-02-04,13.3,27.90,0.00,11.22
2025-02-05,8.9,8.60,0.00,10.75
2025-02-06,8.9,24.00,0.00,9.39
2025-02-07,11.1,5.80,0.00,10.00
2025-02-08,8.4,0.20,0.00,3.70
2025-02-09,8.6,0.00,0.00,3.17
2025-02-10,8.1,0.00,0.00,3.81
2025-02-11,7.8,0.00,0.00,4.73
2025-02-12,8.0,2.60,0.00,4.61
2025-02-13,11.7,38.60,0.00,10.96
2025-02-14,11.4,6.30,0.00,10.12
2025-02-15,8.7,0.00,0.00,5.75
2025-02-16,10.2,1.70,0.00,2.52
2025-02-17,11.3,0.20,0.00,4.65
2025-02-18,9.5,0.00,0.00,4.56
2025-02-19,11.2,1.40,0.00,5.06
2025-02-20,11.2,0.00,0.00,4.25
2025-02-21,11.3,0.00,0.00,3.22
2025-02-22,10.7,0.00,0.00,4.22
2025-02-23,11.3,0.10,0.00,3.42
2025-02-24,12.7,0.40,0.00,4.49
2025-02-25,12.0,0.20,0.00,2.93
2025-02-26,11.9,0.00,0.00,2.94
2025-02-27,14.7,0.00,0.00,4.69
2025-02-28,14.4,0.00,0.00,4.72
2025-03-01,12.1,0.20,0.00,7.92
2025-03-02,11.4,1.30,0.00,8.63
2025-03-03,10.5,0.10,0.00,8.08
2025-03-04,11.4,0.00,0.00,7.08
2025-03-05,12.2,3.60,0.00,6.17
2025-03-06,10.1,0.70,0.00,7.28
2025-03-07,10.3,0.10,0.00,4.20
2025-03-08,11.1,0.00,0.00,4.42
2025-03-09,10.4,0.00,0.00,4.36
2025-03-10,11.7,0.00,0.00,3.77
2025-03-11,12.2,0.00,0.00,5.56
2025-03-12,12.1,12.10,0.00,12.06
2025-03-13,8.9,13.60,0.00,7.17
2025-03-14,9.3,18.40,0.00,8.32
2025-03-15,11.1,0.60,0.00,7.20
2025-03-16,11.8,0.00,0.00,8.15
2025-03-17,11.8,14.70,0.00,9.00
2025-03-18,9.7,3.30,0.00,7.43
2025-03-19,9.7,0.00,0.00,5.00
2025-03-20,10.4,0.40,0.00,4.70
2025-03-21,10.9,0.00,0.00,5.55
2025-03-22,12.2,0.00,0.00,5.32
2025-03-23,12.1,0.00,0.00,4.75
2025-03-24,15.2,0.00,0.00,4.37
2025-03-25,19.2,0.00,0.00,4.09
2025-03-26,15.2,1.50,0.00,7.27
2025-03-27,14.3,2.90,0.00,7.01
2025-03-28,13.1,2.90,0.00,6.07
2025-03-29,11.5,0.10,0.00,6.02
2025-03-30,12.1,10.40,0.00,8.08
2025-03-31,12.9,4.30,0.00,8.19
2025-04-01,11.1,5.00,0.00,9.38
2025-04-02,10.5,0.90,0.00,8.81
2025-04-03,10.7,0.00,0.00,5.49
2025-04-04,12.1,0.00,0.00,4.75
2025-04-05,13.9,0.00,0.00,5.25
2025-04-06,13.1,0.00,0.00,4.41
2025-04-07,13.4,1.30,0.00,4.58
2025-04-08,13.1,0.00,0.00,5.45
2025-04-09,14.2,0.00,0.00,5.07
2025-04-10,15.4,0.00,0.00,5.44
2025-04-11,15.1,0.00,0.00,5.92
2025-04-12,12.8,0.00,0.00,5.61
2025-04-13,13.8,0.00,0.00,6.12
2025-04-14,14.7,0.00,0.00,5.69
2025-04-15,12.7,0.00,0.00,5.50
2025-04-16,12.7,0.00,0.00,5.89
2025-04-17,13.3,0.60,0.00,5.43
2025-04-18,12.8,0.00,0.00,5.90
2025-04-19,12.7,0.00,0.00,5.37
2025-04-20,12.8,0.00,0.00,5.16
2025-04-21,13.1,0.00,0.00,4.96
2025-04-22,13.5,0.00,0.00,5.58
2025-04-23,12.2,0.00,0.00,6.21
2025-04-24,11.6,0.30,0.00,6.15
2025-04-25,11.9,0.00,0.00,6.16
2025-04-26,11.4,0.10,0.00,5.28
2025-04-27,12.1,2.30,0.00,5.19
2025-04-28,12.6,0.00,0.00,5.35
2025-04-29,13.0,0.00,0.00,5.17
2025-04-30,13.6,0.00,0.00,5.78
2025-05-01,13.0,0.00,0.00,5.54
2025-05-02,12.4,0.00,0.00,7.27
2025-05-03,13.0,0.50,0.00,7.19
2025-05-04,13.4,0.00,0.00,6.15
2025-05-05,20.7,0.00,0.00,6.60
2025-05-06,17.4,0.00,0.00,6.63
2025-05-07,13.3,0.00,0.00,6.50
2025-05-08,13.4,0.00,0.00,5.07
2025-05-09,16.1,0.00,0.00,4.78
2025-05-10,17.5,0.00,0.00,5.45
2025-05-11,14.2,0.00,0.00,6.55
2025-05-12,13.2,3.30,0.00,6.52
2025-05-13,13.3,0.20,0.00,6.16
2025-05-14,14.2,0.00,0.00,5.15
2025-05-15,14.4,0.00,0.00,5.28
2025-05-16,14.8,0.00,0.00,5.58
2025-05-17,13.7,0.00,0.00,9.15
2025-05-18,14.8,0.00,0.00,8.71
2025-05-19,17.4,0.00,0.00,6.23
2025-05-20,15.7,0.00,0.00,7.34
2025-05-21,15.2,0.00,0.00,5.80
2025-05-22,14.8,0.00,0.00,6.60
2025-05-23,12.8,0.00,0.00,6.42
2025-05-24,12.8,0.00,0.00,6.88
2025-05-25,12.6,0.00,0.00,7.47
2025-05-26,13.5,0.10,0.00,7.14
2025-05-27,13.4,0.00,0.00,5.89
2025-05-28,13.0,0.00,0.00,6.69
2025-05-29,15.3,0.00,0.00,7.38
2025-05-30,16.2,0.00,0.00,5.61
2025-05-31,16.2,0.00,0.00,5.17
2025-06-01,15.3,0.00,0.00,6.41
2025-06-02,14.6,0.00,0.00,5.92
2025-06-03,14.7,0.00,0.00,5.28
2025-06-04,14.4,0.00,0.00,6.65
2025-06-05,14.7,0.00,0.00,5.92
2025-06-06,15.3,0.00,0.00,5.77
