time,temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm),wind_speed_10m_max (m/s)
2023-01-01,10.8,6.80,0.00,7.69
2023-01-02,9.6,2.70,0.00,7.63
2023-01-03,8.5,21.10,0.00,11.18
2023-01-04,10.8,21.10,0.00,12.28
2023-01-05,12.4,29.40,0.00,16.86
2023-01-06,10.7,1.60,0.00,7.34
2023-01-07,11.7,2.40,0.00,9.48
2023-01-08,12.3,28.20,0.00,11.87
2023-01-09,13.2,40.30,0.00,13.54
2023-01-10,11.4,14.50,0.00,14.39
2023-01-11,11.0,26.20,0.00,11.92
2023-01-12,13.0,7.00,0.00,7.50
2023-01-13,13.0,10.00,0.00,9.46
2023-01-14,12.2,16.30,0.00,12.11
2023-01-15,10.4,11.50,0.00,9.15
2023-01-16,9.7,24.60,0.00,11.23
2023-01-17,8.0,0.00,0.00,7.95
2023-01-18,8.8,0.00,0.00,3.20
2023-01-19,9.4,3.60,0.00,7.98
2023-01-20,8.5,0.00,0.00,6.42
2023-01-21,7.6,0.00,0.00,4.52
2023-01-22,8.9,0.00,0.00,5.94
2023-01-23,10.4,0.00,0.00,8.43
2023-01-24,9.8,0.00,0.00,4.38
2023-01-25,9.7,0.00,0.00,3.97
2023-01-26,11.5,0.00,0.00,7.03
2023-01-27,10.1,0.00,0.00,4.90
2023-01-28,8.8,0.00,0.00,6.53
2023-01-29,8.9,0.20,0.00,8.10
2023-01-30,7.0,0.50,0.00,8.43
2023-01-31,7.4,0.00,0.00,3.57
2023-02-01,7.9,0.00,0.00,4.66
2023-02-02,7.8,0.00,0.00,4.10
2023-02-03,9.9,13.30,0.00,6.59
2023-02-04,10.2,4.10,0.00,7.19
2023-02-05,11.1,13.80,0.00,11.24
2023-02-06,8.5,0.00,0.00,7.86
2023-02-07,9.9,0.00,0.00,4.12
2023-02-08,9.6,0.00,0.00,4.12
2023-02-09,10.0,0.00,0.00,5.14
2023-02-10,10.4,0.10,0.00,7.48
2023-02-11,9.1,5.10,0.00,8.90
2023-02-12,9.3,0.00,0.00,5.97
2023-02-13,10.2,0.00,0.00,8.23
2023-02-14,8.7,0.10,0.00,11.65
2023-02-15,8.0,0.10,0.00,9.20
2023-02-16,8.1,0.00,0.00,3.96
2023-02-17,8.6,0.00,0.00,6.85
2023-02-18,9.4,0.00,0.00,4.50
2023-02-19,8.7,0.00,0.00,5.28
2023-02-20,9.9,0.00,0.00,6.08
2023-02-21,10.0,0.00,0.00,15.34
2023-02-22,7.2,0.00,0.00,14.12
2023-02-23,6.2,1.40,0.00,9.60
2023-02-24,6.5,17.50,0.00,11.83
2023-02-25,6.0,0.50,0.00,6.35
2023-02-26,8.1,3.40,0.00,9.10
2023-02-27,7.7,15.60,0.00,12.59
2023-02-28,8.3,11.60,0.00,10.06
2023-03-01,7.1,1.80,0.00,8.45
2023-03-02,8.2,0.00,0.00,7.32
2023-03-03,8.3,0.00,0.00,7.24
2023-03-04,8.4,3.50,0.00,12.59
2023-03-05,8.6,4.70,0.00,12.68
2023-03-06,7.5,2.70,0.00,7.09
2023-03-07,8.1,4.10,0.00,6.18
2023-03-08,8.6,6.50,0.00,9.30
2023-03-09,8.1,7.90,0.00,8.42
2023-03-10,11.2,56.20,0.00,12.60
2023-03-11,9.4,8.00,0.00,7.96
2023-03-12,12.4,9.40,0.00,7.64
2023-03-13,12.5,6.70,0.00,8.13
2023-03-14,13.2,29.00,0.00,16.43
2023-03-15,9.2,0.50,0.00,9.49
2023-03-16,9.4,0.00,0.00,6.50
2023-03-17,10.4,0.00,0.00,7.00
2023-03-18,11.4,0.00,0.00,6.30
2023-03-19,12.5,21.90,0.00,6.72
2023-03-20,10.4,0.80,0.00,7.94
2023-03-21,9.5,18.30,0.00,18.74
2023-03-22,10.0,23.10,0.00,12.97
2023-03-23,10.6,0.10,0.00,10.02
2023-03-24,9.5,0.00,0.00,10.39
2023-03-25,8.7,0.00,0.00,10.02
2023-03-26,8.3,0.00,0.00,9.41
2023-03-27,9.1,0.00,0.00,8.51
2023-03-28,9.8,16.60,0.00,14.02
2023-03-29,9.1,7.80,0.00,8.56
2023-03-30,8.3,1.50,0.00,6.96
2023-03-31,9.6,0.00,0.00,6.72
2023-04-01,9.8,0.00,0.00,6.41
2023-04-02,10.7,0.10,0.00,10.13
2023-04-03,8.9,0.10,0.00,11.34
2023-04-04,8.1,0.00,0.00,11.81
2023-04-05,8.9,0.00,0.00,8.45
2023-04-06,9.3,0.00,0.00,6.21
2023-04-07,11.4,2.90,0.00,7.88
2023-04-08,10.8,0.00,0.00,5.71
2023-04-09,12.0,0.00,0.00,6.63
2023-04-10,12.3,0.00,0.00,10.60
2023-04-11,12.5,0.10,0.00,10.06
2023-04-12,10.5,0.00,0.00,10.09
2023-04-13,10.4,0.00,0.00,8.24
2023-04-14,9.9,0.00,0.00,7.82
2023-04-15,10.0,0.00,0.00,8.90
2023-04-16,10.0,0.00,0.00,9.61
