time,temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm),wind_speed_10m_max (m/s)
2021-01-01,19.5,2.40,0.00,5.46
2021-01-02,20.6,0.00,0.00,5.20
2021-01-03,20.0,0.10,0.00,5.82
2021-01-04,20.2,0.00,0.00,5.46
2021-01-05,21.0,1.20,0.00,3.65
2021-01-06,21.6,0.00,0.00,4.40
2021-01-07,22.1,0.10,0.00,4.70
2021-01-08,22.4,2.70,0.00,4.20
2021-01-09,20.8,23.70,0.00,4.52
2021-01-10,21.3,0.00,0.00,5.28
2021-01-11,22.2,0.20,0.00,3.45
2021-01-12,22.6,1.20,0.00,3.75
2021-01-13,22.6,2.80,0.00,3.20
2021-01-14,22.0,4.30,0.00,3.35
2021-01-15,21.7,3.70,0.00,4.80
2021-01-16,22.5,1.30,0.00,2.83
2021-01-17,23.4,2.00,0.00,2.63
2021-01-18,23.3,0.30,0.00,3.86
2021-01-19,22.0,5.10,0.00,5.68
2021-01-20,21.4,1.90,0.00,9.92
2021-01-21,21.9,6.30,0.00,6.85
2021-01-22,22.1,1.90,0.00,3.90
2021-01-23,21.9,5.00,0.00,3.71
2021-01-24,21.0,12.00,0.00,2.67
2021-01-25,20.5,8.10,0.00,2.16
2021-01-26,20.8,7.40,0.00,4.10
2021-01-27,21.0,27.50,0.00,3.32
2021-01-28,20.8,28.60,0.00,3.69
2021-01-29,20.0,7.30,0.00,3.74
2021-01-30,20.1,5.90,0.00,4.80
2021-01-31,21.0,1.60,0.00,3.41
2021-02-01,21.9,0.00,0.00,4.62
2021-02-02,21.6,0.00,0.00,5.42
2021-02-03,20.6,5.80,0.00,4.52
2021-02-04,20.5,4.80,0.00,4.11
2021-02-05,21.2,8.90,0.00,3.26
2021-02-06,20.8,1.30,0.00,3.80
2021-02-07,19.9,9.20,0.00,3.85
2021-02-08,20.5,8.30,0.00,4.56
2021-02-09,20.0,24.80,0.00,3.69
2021-02-10,19.3,34.70,0.00,3.47
2021-02-11,19.3,28.60,0.00,3.74
2021-02-12,19.8,4.40,0.00,3.76
2021-02-13,18.9,5.00,0.00,4.10
2021-02-14,17.9,43.00,0.00,3.24
2021-02-15,18.6,7.10,0.00,3.42
2021-02-16,19.7,9.50,0.00,5.64
2021-02-17,21.2,0.50,0.00,3.86
2021-02-18,22.1,2.10,0.00,4.00
2021-02-19,21.8,7.30,0.00,4.11
2021-02-20,22.1,0.10,0.00,3.71
2021-02-21,21.1,1.00,0.00,5.80
2021-02-22,20.1,1.00,0.00,6.21
2021-02-23,19.6,0.90,0.00,6.48
2021-02-24,19.7,3.70,0.00,4.90
2021-02-25,19.9,1.70,0.00,3.73
2021-02-26,20.5,10.60,0.00,3.47
2021-02-27,20.8,8.30,0.00,3.82
2021-02-28,20.6,2.00,0.00,4.00
2021-03-01,20.8,1.50,0.00,5.24
2021-03-02,20.4,0.60,0.00,5.12
2021-03-03,20.9,8.70,0.00,2.82
2021-03-04,19.9,18.80,0.00,4.34
2021-03-05,19.7,54.00,0.00,5.41
2021-03-06,20.3,3.70,0.00,6.30
2021-03-07,20.1,7.40,0.00,4.02
2021-03-08,20.0,2.00,0.00,2.06
2021-03-09,20.1,3.10,0.00,3.16
2021-03-10,20.3,1.40,0.00,3.96
2021-03-11,19.9,0.70,0.00,4.32
2021-03-12,19.6,0.30,0.00,4.14
2021-03-13,18.4,0.00,0.00,5.05
2021-03-14,18.7,2.80,0.00,4.14
2021-03-15,19.3,0.70,0.00,5.19
2021-03-16,19.4,1.70,0.00,4.87
2021-03-17,19.5,9.70,0.00,3.52
2021-03-18,19.5,15.80,0.00,3.30
2021-03-19,19.6,4.70,0.00,5.20
2021-03-20,19.0,8.70,0.00,4.18
2021-03-21,19.0,5.20,0.00,4.40
2021-03-22,19.7,4.50,0.00,4.12
2021-03-23,20.1,4.10,0.00,4.36
2021-03-24,19.5,11.70,0.00,4.16
2021-03-25,20.1,86.10,0.00,2.84
2021-03-26,20.7,2.30,0.00,3.85
2021-03-27,19.9,0.20,0.00,5.00
2021-03-28,19.6,0.10,0.00,4.20
2021-03-29,19.6,0.20,0.00,3.71
2021-03-30,19.8,2.00,0.00,2.64
2021-03-31,19.8,0.60,0.00,3.74
2021-04-01,19.5,1.10,0.00,5.77
2021-04-02,18.7,0.20,0.00,6.45
2021-04-03,18.7,0.80,0.00,3.41
2021-04-04,19.3,14.80,0.00,3.86
2021-04-05,19.6,0.20,0.00,4.33
2021-04-06,19.9,2.50,0.00,4.24
2021-04-07,19.1,1.60,0.00,6.40
2021-04-08,19.2,0.00,0.00,5.19
2021-04-09,19.1,0.00,0.00,4.28
2021-04-10,18.9,0.60,0.00,4.47
2021-04-11,18.7,0.30,0.00,4.30
2021-04-12,19.1,0.10,0.00,5.33
2021-04-13,18.9,0.40,0.00,5.68
2021-04-14,19.2,3.20,0.00,3.77
2021-04-15,19.3,6.00,0.00,2.15
2021-04-16,18.9,2.40,0.00,3.45
2021-04-17,18.4,2.20,0.00,4.63
2021-04-18,16.1,1.10,0.00,6.16
2021-04-19,16.7,2.30,0.00,5.02
2021-04-20,17.5,0.10,0.00,5.28
2021-04-21,17.8,0.00,0.00,4.52
2021-04-22,18.1,1.90,0.00,4.32
2021-04-23,17.9,1.60,0.00,4.97
2021-04-24,17.9,0.10,0.00,5.34
2021-04-25,18.5,0.30,0.00,4.46
2021-04-26,18.5,6.80,0.00,5.06
2021-04-27,18.2,2.50,0.00,4.46
2021-04-28,18.7,0.20,0.00,4.98
2021-04-29,18.5,0.50,0.00,6.10
2021-04-30,18.4,0.90,0.00,4.62
2021-05-01,18.9,0.80,0.00,2.91
2021-05-02,18.9,2.90,0.00,3.94
2021-05-03,18.2,0.30,0.00,3.67
2021-05-04,17.7,1.10,0.00,4.52
2021-05-05,17.2,0.40,0.00,3.98
2021-05-06,18.8,0.00,0.00,3.73
2021-05-07,18.5,0.00,0.00,3.93
2021-05-08,17.7,0.80,0.00,3.32
2021-05-09,17.7,1.10,0.00,3.26
2021-05-10,17.1,1.30,0.00,4.94
2021-05-11,16.9,1.70,0.00,3.01
2021-05-12,17.0,0.10,0.00,3.90
2021-05-13,16.8,0.90,0.00,4.37
2021-05-14,17.1,0.20,0.00,5.41
2021-05-15,16.6,0.10,0.00,5.92
2021-05-16,16.0,0.00,0.00,4.00
2021-05-17,16.3,0.00,0.00,3.31
2021-05-18,16.1,0.00,0.00,4.08
2021-05-19,15.5,0.20,0.00,6.23
2021-05-20,14.7,0.10,0.00,7.34
2021-05-21,12.8,0.00,0.00,4.74
2021-05-22,14.2,0.00,0.00,4.81
2021-05-23,15.5,0.00,0.00,4.24
2021-05-24,15.5,0.90,0.00,3.93
2021-05-25,15.4,0.10,0.00,3.42
2021-05-26,15.5,0.00,0.00,2.24
2021-05-27,15.2,0.00,0.00,3.16
2021-05-28,15.0,0.00,0.00,2.38
2021-05-29,15.3,0.00,0.00,3.71
2021-05-30,16.6,0.00,0.00,2.92
2021-05-31,17.6,1.80,0.00,3.71
2021-06-01,16.7,0.30,0.00,3.70
2021-06-02,15.8,0.00,0.00,5.20
2021-06-03,16.0,0.00,0.00,3.51
2021-06-04,16.6,0.00,0.00,2.12
2021-06-05,16.0,0.00,0.00,3.60
2021-06-06,14.9,1.00,0.00,5.08
2021-06-07,13.4,0.10,0.00,6.38
2021-06-08,12.6,0.00,0.00,5.27
2021-06-09,13.2,0.00,0.00,6.45
2021-06-10,13.5,0.00,0.00,4.92
2021-06-11,13.8,0.00,0.00,5.10
2021-06-12,15.8,4.20,0.00,5.10
2021-06-13,15.9,5.80,0.00,4.42
2021-06-14,14.7,6.90,0.00,2.62
2021-06-15,14.4,0.00,0.00,3.90
2021-06-16,13.9,0.00,0.00,4.86
2021-06-17,12.6,0.00,0.00,3.26
2021-06-18,13.7,0.00,0.00,3.10
2021-06-19,13.9,0.00,0.00,5.39
2021-06-20,13.6,0.10,0.00,6.78
2021-06-21,12.8,0.30,0.00,7.03
2021-06-22,12.7,0.00,0.00,4.37
2021-06-23,12.1,0.00,0.00,4.43
2021-06-24,12.9,0.00,0.00,3.49
2021-06-25,13.6,0.00,0.00,3.31
2021-06-26,13.4,0.00,0.00,2.69
2021-06-27,14.1,0.00,0.00,3.70
2021-06-28,13.6,0.00,0.00,3.82
2021-06-29,14.7,0.00,0.00,3.52
2021-06-30,13.8,0.00,0.00,4.79
2021-07-01,13.7,0.00,0.00,3.72
2021-07-02,14.7,0.00,0.00,4.54
2021-07-03,14.5,0.00,0.00,4.70
2021-07-04,13.6,0.00,0.00,3.60
2021-07-05,13.8,0.00,0.00,3.47
2021-07-06,14.2,2.60,0.00,4.10
2021-07-07,14.2,1.80,0.00,4.20
2021-07-08,14.0,0.00,0.00,5.78
2021-07-09,15.1,0.60,0.00,6.68
2021-07-10,15.1,0.00,0.00,6.31
2021-07-11,14.1,0.00,0.00,5.63
2021-07-12,14.5,0.00,0.00,5.10
2021-07-13,13.4,0.00,0.00,5.22
2021-07-14,13.5,0.00,0.00,4.59
2021-07-15,13.6,0.00,0.00,5.79
2021-07-16,13.6,0.00,0.00,4.73
2021-07-17,14.1,0.20,0.00,5.32
2021-07-18,14.6,0.00,0.00,4.50
2021-07-19,14.8,0.10,0.00,5.78
2021-07-20,14.7,0.50,0.00,5.95
2021-07-21,14.5,0.00,0.00,5.70
2021-07-22,13.0,0.00,0.00,4.11
2021-07-23,13.2,0.00,0.00,3.57
2021-07-24,13.8,0.10,0.00,5.24
2021-07-25,13.3,0.00,0.00,8.34
2021-07-26,12.6,0.00,0.00,6.72
2021-07-27,13.0,0.20,0.00,3.96
2021-07-28,12.6,0.00,0.00,4.84
2021-07-29,14.3,0.30,0.00,7.75
2021-07-30,14.5,0.30,0.00,6.80
2021-07-31,13.3,0.00,0.00,5.77
2021-08-01,12.8,0.10,0.00,5.14
2021-08-02,14.3,0.00,0.00,2.41
2021-08-03,14.8,0.00,0.00,5.46
2021-08-04,14.4,0.10,0.00,5.90
2021-08-05,13.6,0.00,0.00,5.52
2021-08-06,13.5,0.00,0.00,3.83
2021-08-07,14.7,0.00,0.00,5.19
2021-08-08,15.0,0.00,0.00,3.75
2021-08-09,14.7,0.00,0.00,4.37
2021-08-10,15.6,0.00,0.00,5.04
2021-08-11,14.4,0.00,0.00,4.37
2021-08-12,15.3,0.00,0.00,3.26
2021-08-13,17.3,0.00,0.00,4.39
2021-08-14,15.6,0.00,0.00,7.02
2021-08-15,13.7,0.00,0.00,4.85
2021-08-16,12.7,0.00,0.00,5.41
2021-08-17,13.3,0.00,0.00,5.46
2021-08-18,14.0,0.00,0.00,4.54
2021-08-19,16.7,0.00,0.00,4.68
2021-08-20,18.9,0.00,0.00,4.20
2021-08-21,18.3,0.00,0.00,5.31
2021-08-22,16.4,0.00,0.00,4.13
2021-08-23,15.7,0.00,0.00,5.20
2021-08-24,16.4,0.00,0.00,4.24
2021-08-25,17.0,0.00,0.00,4.42
2021-08-26,16.0,0.00,0.00,5.00
2021-08-27,14.5,0.00,0.00,6.22
2021-08-28,15.1,1.50,0.00,7.22
2021-08-29,16.5,0.80,0.00,6.72
2021-08-30,16.3,5.30,0.00,4.41
2021-08-31,17.7,0.30,0.00,3.93
2021-09-01,17.3,0.00,0.00,4.60
2021-09-02,15.3,0.00,0.00,5.51
2021-09-03,15.2,0.00,0.00,5.19
2021-09-04,14.6,0.00,0.00,6.14
2021-09-05,14.1,0.00,0.00,6.11
2021-09-06,14.5,0.00,0.00,4.80
2021-09-07,14.1,0.10,0.00,4.95
2021-09-08,15.4,0.00,0.00,4.61
2021-09-09,16.8,0.00,0.00,5.08
2021-09-10,15.7,0.00,0.00,6.67
2021-09-11,14.5,0.20,0.00,7.71
2021-09-12,14.8,0.40,0.00,7.73
2021-09-13,15.1,0.30,0.00,5.95
2021-09-14,16.0,0.00,0.00,5.12
2021-09-15,16.7,0.00,0.00,4.06
2021-09-16,17.4,0.00,0.00,4.34
2021-09-17,19.3,0.00,0.00,5.70
2021-09-18,18.9,0.30,0.00,6.50
2021-09-19,15.0,0.40,0.00,5.68
2021-09-20,14.6,0.10,0.00,5.10
2021-09-21,16.3,0.00,0.00,4.03
2021-09-22,17.5,0.20,0.00,4.77
2021-09-23,17.1,0.00,0.00,4.96
2021-09-24,16.4,0.00,0.00,5.71
2021-09-25,16.7,0.00,0.00,5.80
2021-09-26,16.5,0.00,0.00,6.00
2021-09-27,15.3,0.00,0.00,5.32
2021-09-28,15.9,0.60,0.00,5.61
2021-09-29,16.9,0.00,0.00,4.62
2021-09-30,17.2,0.00,0.00,4.75
2021-10-01,16.5,0.00,0.00,4.46
2021-10-02,16.8,0.00,0.00,4.79
2021-10-03,17.2,0.00,0.00,5.90
2021-10-04,19.2,0.00,0.00,4.00
2021-10-05,19.2,0.00,0.00,4.46
2021-10-06,19.1,0.00,0.00,5.47
2021-10-07,18.2,0.10,0.00,5.78
2021-10-08,15.6,0.00,0.00,5.99
2021-10-09,16.3,0.10,0.00,5.22
2021-10-10,17.6,0.00,0.00,5.40
2021-10-11,18.0,0.00,0.00,6.06
2021-10-12,18.4,0.00,0.00,5.34
2021-10-13,20.0,0.00,0.00,4.80
2021-10-14,20.1,0.00,0.00,4.92
2021-10-15,18.2,0.20,0.00,5.73
2021-10-16,17.2,0.00,0.00,5.50
2021-10-17,17.3,0.00,0.00,4.92
2021-10-18,17.9,0.00,0.00,5.17
2021-10-19,19.8,0.00,0.00,4.78
2021-10-20,20.0,0.00,0.00,4.62
2021-10-21,20.7,0.20,0.00,5.35
2021-10-22,21.7,0.00,0.00,5.21
2021-10-23,22.3,0.00,0.00,5.28
2021-10-24,22.0,1.10,0.00,5.10
2021-10-25,20.7,3.60,0.00,5.20
2021-10-26,19.4,0.00,0.00,5.23
2021-10-27,20.4,0.00,0.00,4.70
2021-10-28,20.4,2.60,0.00,6.63
2021-10-29,16.2,4.10,0.00,4.84
2021-10-30,18.6,1.00,0.00,3.73
2021-10-31,20.0,0.20,0.00,4.67
2021-11-01,21.5,0.00,0.00,4.81
2021-11-02,21.3,0.00,0.00,4.34
2021-11-03,22.0,0.00,0.00,4.44
2021-11-04,23.1,0.00,0.00,2.80
2021-11-05,23.2,0.00,0.00,6.24
2021-11-06,21.4,1.70,0.00,6.60
2021-11-07,21.1,0.80,0.00,5.44
2021-11-08,22.2,0.00,0.00,5.32
2021-11-09,22.5,0.00,0.00,5.20
2021-11-10,23.4,0.00,0.00,5.11
2021-11-11,23.5,0.00,0.00,5.08
2021-11-12,22.3,0.00,0.00,4.70
2021-11-13,22.2,0.00,0.00,5.35
2021-11-14,22.3,0.00,0.00,5.10
2021-11-15,22.7,0.10,0.00,4.44
2021-11-16,21.7,0.00,0.00,5.02
2021-11-17,22.0,0.00,0.00,4.82
2021-11-18,20.1,0.00,0.00,4.70
2021-11-19,21.0,0.00,0.00,4.88
2021-11-20,21.3,0.00,0.00,5.82
2021-11-21,22.3,0.00,0.00,4.83
2021-11-22,22.5,0.00,0.00,6.21
2021-11-23,22.2,0.10,0.00,4.88
2021-11-24,22.5,2.70,0.00,4.12
2021-11-25,21.2,16.40,0.00,5.31
2021-11-26,20.0,4.10,0.00,4.84
2021-11-27,19.9,23.50,0.00,2.90
2021-11-28,19.1,2.20,0.00,4.50
2021-11-29,20.1,1.40,0.00,3.11
2021-11-30,20.0,13.70,0.00,3.82
2021-12-01,20.7,0.80,0.00,4.23
2021-12-02,18.9,0.30,0.00,5.77
2021-12-03,19.1,0.00,0.00,4.70
2021-12-04,19.6,1.50,0.00,4.62
2021-12-05,20.3,0.00,0.00,5.08
2021-12-06,20.2,0.00,0.00,5.11
2021-12-07,19.7,0.00,0.00,4.90
2021-12-08,19.5,0.00,0.00,4.74
2021-12-09,19.8,0.00,0.00,4.33
2021-12-10,20.4,0.00,0.00,5.14
2021-12-11,19.8,0.00,0.00,4.70
2021-12-12,19.7,0.00,0.00,5.60
2021-12-13,19.9,1.10,0.00,5.12
2021-12-14,20.5,0.10,0.00,5.22
2021-12-15,20.6,0.00,0.00,5.35
2021-12-16,19.4,7.90,0.00,5.60
2021-12-17,21.1,0.20,0.00,4.93
2021-12-18,21.6,0.30,0.00,7.28
2021-12-19,22.2,1.80,0.00,4.28
2021-12-20,21.3,18.30,0.00,4.05
2021-12-21,20.7,21.20,0.00,3.11
2021-12-22,21.6,0.50,0.00,5.02
2021-12-23,22.4,1.10,0.00,5.55
2021-12-24,21.7,3.10,0.00,3.79
2021-12-25,22.7,0.10,0.00,3.16
2021-12-26,21.3,27.40,0.00,4.22
2021-12-27,20.8,25.70,0.00,3.77
2021-12-28,20.8,19.70,0.00,2.70
2021-12-29,20.9,7.20,0.00,4.33
2021-12-30,21.0,0.80,0.00,3.73
2021-12-31,20.5,12.30,0.00,2.02
