time,temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm),wind_speed_10m_max (m/s)
2022-01-01,19.9,17.40,0.00,3.68
2022-01-02,20.7,15.60,0.00,3.13
2022-01-03,20.7,27.80,0.00,3.35
2022-01-04,20.4,11.80,0.00,2.12
2022-01-05,20.6,22.50,0.00,4.10
2022-01-06,19.8,12.60,0.00,4.47
2022-01-07,20.3,16.50,0.00,4.49
2022-01-08,20.5,6.80,0.00,4.64
2022-01-09,19.6,11.70,0.00,4.63
2022-01-10,19.8,10.60,0.00,3.64
2022-01-11,20.0,6.30,0.00,4.00
2022-01-12,20.0,8.80,0.00,5.00
2022-01-13,20.4,11.00,0.00,5.69
2022-01-14,19.8,7.90,0.00,4.39
2022-01-15,19.8,27.40,0.00,2.94
2022-01-16,20.0,22.80,0.00,5.02
2022-01-17,20.0,20.00,0.00,4.88
2022-01-18,18.6,36.40,0.00,3.54
2022-01-19,19.5,27.50,0.00,3.96
2022-01-20,17.8,22.00,0.00,5.11
2022-01-21,18.9,3.70,0.00,5.29
2022-01-22,19.5,11.90,0.00,7.68
2022-01-23,19.9,10.60,0.00,11.18
2022-01-24,19.7,5.40,0.00,8.73
2022-01-25,18.6,6.10,0.00,4.06
2022-01-26,19.2,0.30,0.00,4.51
2022-01-27,19.6,0.00,0.00,4.90
2022-01-28,19.6,0.10,0.00,4.36
2022-01-29,20.7,0.00,0.00,3.34
2022-01-30,21.0,0.00,0.00,4.34
2022-01-31,20.3,0.00,0.00,4.59
2022-02-01,20.0,0.00,0.00,5.16
2022-02-02,20.1,0.00,0.00,6.09
2022-02-03,21.1,0.00,0.00,3.95
2022-02-04,21.1,6.10,0.00,5.81
2022-02-05,19.8,7.50,0.00,9.49
2022-02-06,20.1,2.60,0.00,8.27
2022-02-07,20.5,0.00,0.00,5.02
2022-02-08,21.0,0.60,0.00,4.00
2022-02-09,21.0,13.40,0.00,2.89
2022-02-10,21.9,0.10,0.00,4.46
2022-02-11,21.3,0.30,0.00,4.90
2022-02-12,20.8,0.10,0.00,5.12
2022-02-13,19.8,10.70,0.00,3.86
2022-02-14,20.4,2.00,0.00,5.02
2022-02-15,20.5,0.60,0.00,6.98
2022-02-16,20.0,2.40,0.00,7.57
2022-02-17,20.1,1.40,0.00,6.24
2022-02-18,19.7,0.10,0.00,5.28
2022-02-19,19.3,0.00,0.00,4.70
2022-02-20,19.9,0.00,0.00,4.85
2022-02-21,20.8,1.30,0.00,7.19
2022-02-22,19.3,16.50,0.00,8.79
2022-02-23,20.7,5.30,0.00,7.51
2022-02-24,20.4,3.50,0.00,4.08
2022-02-25,20.4,5.80,0.00,2.91
2022-02-26,20.2,26.50,0.00,3.05
2022-02-27,20.2,16.90,0.00,4.00
2022-02-28,19.7,16.30,0.00,3.32
2022-03-01,20.0,27.80,0.00,3.40
2022-03-02,20.0,14.20,0.00,4.17
2022-03-03,20.1,20.70,0.00,2.80
2022-03-04,20.8,1.30,0.00,3.57
2022-03-05,20.5,1.10,0.00,5.60
2022-03-06,20.3,0.80,0.00,5.96
2022-03-07,19.7,0.40,0.00,5.23
2022-03-08,20.3,2.80,0.00,6.98
2022-03-09,20.8,4.50,0.00,5.41
2022-03-10,20.8,7.10,0.00,4.64
2022-03-11,20.7,2.00,0.00,4.46
2022-03-12,19.7,0.20,0.00,5.30
2022-03-13,19.6,0.00,0.00,5.33
2022-03-14,19.8,3.70,0.00,5.39
2022-03-15,19.6,5.40,0.00,3.91
2022-03-16,20.3,12.10,0.00,2.92
2022-03-17,20.8,18.00,0.00,4.30
2022-03-18,20.5,19.40,0.00,4.39
2022-03-19,19.7,21.80,0.00,3.82
2022-03-20,18.6,0.00,0.00,6.14
2022-03-21,18.3,0.50,0.00,4.61
2022-03-22,18.6,0.00,0.00,4.90
2022-03-23,20.2,5.50,0.00,3.75
2022-03-24,19.9,26.20,0.00,2.58
2022-03-25,20.4,1.00,0.00,2.97
2022-03-26,20.8,1.20,0.00,3.01
2022-03-27,20.6,4.00,0.00,2.77
2022-03-28,19.7,11.40,0.00,2.50
2022-03-29,19.3,1.40,0.00,5.40
2022-03-30,18.7,0.30,0.00,6.74
2022-03-31,17.9,0.00,0.00,7.99
2022-04-01,17.2,2.70,0.00,5.57
2022-04-02,17.5,0.10,0.00,3.26
2022-04-03,18.3,0.40,0.00,4.34
2022-04-04,18.8,0.20,0.00,3.92
2022-04-05,19.3,9.00,0.00,3.50
2022-04-06,19.1,5.00,0.00,4.67
2022-04-07,19.7,6.00,0.00,2.77
2022-04-08,19.5,9.30,0.00,3.73
2022-04-09,19.2,0.00,0.00,5.22
2022-04-10,18.5,0.20,0.00,5.60
2022-04-11,17.2,0.60,0.00,7.06
2022-04-12,17.9,0.10,0.00,6.02
2022-04-13,18.3,1.00,0.00,5.64
2022-04-14,19.5,0.10,0.00,6.90
2022-04-15,19.9,0.20,0.00,5.91
2022-04-16,19.7,1.40,0.00,5.35
2022-04-17,19.4,0.20,0.00,4.12
2022-04-18,19.3,0.00,0.00,3.41
2022-04-19,19.8,0.00,0.00,3.61
2022-04-20,19.7,0.20,0.00,4.73
2022-04-21,20.0,0.10,0.00,6.71
2022-04-22,19.4,3.30,0.00,5.10
2022-04-23,18.9,4.90,0.00,5.08
2022-04-24,18.2,1.90,0.00,5.60
2022-04-25,17.3,0.90,0.00,4.52
2022-04-26,18.0,0.30,0.00,3.94
