time,temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm),wind_speed_10m_max (m/s)
2022-01-01,-3.1,0.00,0.28,3.69
2022-01-02,-4.0,0.00,0.00,4.88
2022-01-03,-2.4,0.00,0.07,3.60
2022-01-04,-4.7,0.00,0.00,4.02
2022-01-05,-2.6,0.00,0.00,2.60
2022-01-06,-3.7,0.00,0.00,4.22
2022-01-07,-3.1,0.00,0.00,2.71
2022-01-08,0.2,0.00,0.00,5.72
2022-01-09,-1.4,0.00,0.00,2.91
2022-01-10,-2.0,0.00,0.98,5.69
2022-01-11,-8.5,0.00,0.00,6.64
2022-01-12,-6.8,0.00,0.00,4.34
2022-01-13,-7.1,0.00,0.00,8.43
2022-01-14,-5.2,0.00,0.00,2.72
2022-01-15,-0.5,0.10,0.14,5.08
2022-01-16,-5.4,0.00,0.00,5.57
2022-01-17,-5.7,0.00,0.07,5.83
2022-01-18,-5.5,0.00,0.00,3.23
2022-01-19,-6.0,0.00,1.12,5.25
2022-01-20,-5.4,0.00,0.00,3.18
2022-01-21,-2.4,0.00,0.00,2.75
2022-01-22,0.1,0.00,0.00,2.77
2022-01-23,1.3,0.00,0.00,3.86
2022-01-24,3.4,0.00,0.35,4.80
2022-01-25,0.4,0.30,0.00,4.20
2022-01-26,-0.9,0.00,0.00,4.12
2022-01-27,-2.6,0.00,0.00,4.03
2022-01-28,-3.5,0.00,0.00,4.63
2022-01-29,-4.4,0.00,0.00,4.92
2022-01-30,-3.7,0.00,0.00,4.13
2022-01-31,-0.7,0.10,1.26,4.44
2022-02-01,-3.0,0.00,0.00,5.50
2022-02-02,-4.3,0.00,0.00,4.44
2022-02-03,-4.2,0.00,0.00,4.85
2022-02-04,-6.4,0.00,0.00,6.99
2022-02-05,-6.4,0.00,0.00,6.93
2022-02-06,-4.2,0.00,0.00,5.51
2022-02-07,-2.5,0.00,0.00,4.02
2022-02-08,-2.0,0.00,0.00,3.58
2022-02-09,-0.6,0.00,0.00,2.51
2022-02-10,-0.2,0.00,0.00,4.59
2022-02-11,1.2,0.00,0.00,3.61
2022-02-12,1.8,0.00,0.00,3.09
2022-02-13,2.3,0.00,0.00,2.97
2022-02-14,-0.5,0.70,0.49,5.76
2022-02-15,-6.3,0.00,0.00,6.17
2022-02-16,-7.6,0.00,0.00,8.01
2022-02-17,-6.0,0.00,0.00,2.92
2022-02-18,-1.2,0.00,0.00,3.70
2022-02-19,-3.4,0.00,0.00,6.65
2022-02-20,-5.0,0.00,0.00,6.05
2022-02-21,-3.0,0.00,0.14,9.18
2022-02-22,-5.2,0.00,0.00,7.35
2022-02-23,-5.5,0.00,0.00,5.69
2022-02-24,-2.0,0.00,0.00,5.64
2022-02-25,2.7,0.00,0.00,6.36
2022-02-26,2.6,1.20,0.00,8.95
2022-02-27,2.3,0.00,0.00,7.48
2022-02-28,5.1,1.20,0.00,2.47
2022-03-01,1.4,0.30,0.00,4.92
2022-03-02,1.8,0.00,0.00,6.55
2022-03-03,2.5,0.00,0.00,3.95
2022-03-04,5.1,3.70,0.00,8.60
2022-03-05,0.0,0.00,0.00,8.92
2022-03-06,0.0,0.00,0.00,5.16
2022-03-07,0.8,0.00,0.00,4.04
2022-03-08,3.1,0.00,0.00,4.03
2022-03-09,4.3,0.00,0.00,3.55
2022-03-10,5.5,0.00,0.00,4.43
2022-03-11,7.5,0.00,0.00,3.30
2022-03-12,11.9,14.40,0.00,5.92
2022-03-13,9.5,0.10,0.00,4.00
2022-03-14,5.0,7.50,0.00,7.39
2022-03-15,4.7,0.00,0.00,3.22
2022-03-16,9.3,0.00,0.00,3.96
2022-03-17,9.2,0.40,0.00,6.07
2022-03-18,5.2,1.60,5.60,6.18
2022-03-19,2.5,2.80,1.54,4.78
2022-03-20,2.6,0.10,0.00,5.22
2022-03-21,3.7,0.00,0.00,4.03
2022-03-22,5.7,0.00,0.00,4.44
2022-03-23,3.8,0.00,0.00,4.96
2022-03-24,7.6,0.00,0.00,4.88
2022-03-25,13.5,30.80,0.00,7.51
2022-03-26,8.9,1.90,0.00,6.49
2022-03-27,5.2,0.00,0.00,7.41
2022-03-28,5.7,0.00,0.00,2.78
2022-03-29,8.1,0.00,0.00,4.66
2022-03-30,10.0,4.40,0.00,3.83
2022-03-31,7.4,1.70,0.00,2.82
2022-04-01,6.5,0.00,0.00,4.90
2022-04-02,6.5,0.00,0.00,4.93
2022-04-03,8.0,0.00,0.00,4.46
2022-04-04,7.8,0.00,0.00,5.08
2022-04-05,8.5,0.00,0.00,4.72
2022-04-06,9.4,0.00,0.00,4.34
2022-04-07,7.8,0.00,0.00,6.99
2022-04-08,11.9,0.00,0.00,3.94
2022-04-09,14.3,0.00,0.00,5.76
2022-04-10,14.8,0.00,0.00,4.59
2022-04-11,17.2,0.30,0.00,4.47
2022-04-12,15.3,2.80,0.00,5.92
2022-04-13,10.0,1.00,0.00,7.30
2022-04-14,10.1,0.00,0.00,6.14
2022-04-15,10.8,0.80,0.00,4.90
2022-04-16,10.3,0.00,0.00,6.04
2022-04-17,12.0,0.00,0.00,5.79
2022-04-18,11.6,0.00,0.00,6.01
2022-04-19,11.6,0.00,0.00,4.97
2022-04-20,12.7,0.00,0.00,5.50
2022-04-21,15.4,0.10,0.00,6.66
2022-04-22,13.2,0.10,0.00,8.27
2022-04-23,16.6,0.00,0.00,2.85
2022-04-24,16.3,0.10,0.00,5.00
2022-04-25,19.6,7.20,0.00,3.57
2022-04-26,19.1,0.00,0.00,7.89
2022-04-27,15.3,0.00,0.00,4.44
2022-04-28,16.5,16.40,0.00,6.04
2022-04-29,12.0,0.20,0.00,5.85
2022-04-30,10.7,0.40,0.00,5.73
2022-05-01,11.6,0.00,0.00,8.37
