time,temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm),wind_speed_10m_max (m/s)
2024-05-16,17.3,0.20,0.00,6.40
2024-05-17,18.1,0.00,0.00,4.57
2024-05-18,19.2,0.10,0.00,3.16
2024-05-19,18.1,0.00,0.00,4.96
2024-05-20,17.4,0.00,0.00,6.29
2024-05-21,14.8,0.00,0.00,7.38
2024-05-22,14.3,0.30,0.00,8.88
2024-05-23,15.0,0.40,0.00,8.54
2024-05-24,15.4,0.10,0.00,6.98
2024-05-25,15.9,0.00,0.00,5.02
2024-05-26,16.1,0.00,0.00,3.13
2024-05-27,15.3,0.00,0.00,4.14
2024-05-28,14.9,0.10,0.00,5.45
2024-05-29,14.9,0.00,0.00,5.33
2024-05-30,15.2,0.00,0.00,5.28
2024-05-31,16.6,0.00,0.00,5.64
2024-06-01,17.5,0.00,0.00,4.70
2024-06-02,18.1,0.10,0.00,4.75
2024-06-03,16.7,0.00,0.00,4.52
2024-06-04,16.3,0.00,0.00,4.80
2024-06-05,16.9,0.00,0.00,4.40
2024-06-06,15.9,0.20,0.00,4.60
2024-06-07,16.1,0.00,0.00,3.45
2024-06-08,16.5,0.00,0.00,4.51
2024-06-09,14.8,0.10,0.00,5.31
2024-06-10,14.6,0.00,0.00,6.30
2024-06-11,15.7,3.10,0.00,5.20
2024-06-12,15.2,1.10,0.00,3.00
2024-06-13,15.9,0.00,0.00,3.22
2024-06-14,17.2,0.10,0.00,3.61
2024-06-15,17.4,0.00,0.00,3.99
2024-06-16,17.1,0.00,0.00,3.29
2024-06-17,17.8,0.00,0.00,4.33
2024-06-18,16.5,0.30,0.00,4.47
2024-06-19,15.7,0.00,0.00,3.67
2024-06-20,14.6,0.00,0.00,3.91
2024-06-21,13.9,0.00,0.00,3.80
2024-06-22,13.3,0.10,0.00,6.22
2024-06-23,14.4,0.00,0.00,6.52
2024-06-24,14.4,0.00,0.00,6.92
2024-06-25,15.0,0.00,0.00,6.76
2024-06-26,14.8,0.00,0.00,6.29
2024-06-27,14.9,0.10,0.00,6.52
2024-06-28,12.9,0.00,0.00,5.81
2024-06-29,12.5,0.00,0.00,3.96
2024-06-30,14.0,0.00,0.00,4.13
2024-07-01,13.8,0.00,0.00,4.93
2024-07-02,12.2,0.00,0.00,5.20
2024-07-03,13.9,0.00,0.00,4.62
2024-07-04,15.5,0.00,0.00,2.75
2024-07-05,15.7,0.00,0.00,3.59
2024-07-06,14.7,0.00,0.00,2.47
2024-07-07,14.3,0.00,0.00,2.61
2024-07-08,14.9,0.00,0.00,4.47
2024-07-09,15.6,0.00,0.00,4.20
2024-07-10,14.1,0.00,0.00,4.92
2024-07-11,12.9,0.00,0.00,5.46
2024-07-12,13.5,0.00,0.00,5.57
2024-07-13,15.0,0.10,0.00,6.96
2024-07-14,14.3,0.00,0.00,5.32
2024-07-15,14.3,0.00,0.00,3.10
2024-07-16,14.2,0.00,0.00,3.20
2024-07-17,14.6,0.00,0.00,2.92
2024-07-18,14.2,0.00,0.00,3.14
2024-07-19,14.3,0.00,0.00,3.26
2024-07-20,14.7,0.00,0.00,4.10
2024-07-21,14.5,0.00,0.00,3.54
2024-07-22,15.6,0.00,0.00,4.12
2024-07-23,17.1,0.00,0.00,5.22
2024-07-24,16.1,0.10,0.00,4.94
2024-07-25,16.1,0.00,0.00,3.04
2024-07-26,15.7,0.00,0.00,3.63
2024-07-27,15.4,0.00,0.00,4.24
2024-07-28,15.9,0.00,0.00,2.70
2024-07-29,15.8,0.00,0.00,3.35
