time,temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm),wind_speed_10m_max (m/s)
2021-01-01,-4.5,0.00,0.00,4.10
2021-01-02,-6.2,0.00,0.00,5.28
2021-01-03,-5.5,0.00,0.00,4.77
2021-01-04,-3.0,0.00,0.14,3.78
2021-01-05,-7.7,0.00,0.00,5.95
2021-01-06,-8.4,0.00,0.77,8.86
2021-01-07,-15.1,0.00,0.00,6.96
2021-01-08,-14.5,0.00,0.00,5.19
2021-01-09,-11.5,0.00,0.00,5.46
2021-01-10,-7.7,0.00,0.00,2.64
2021-01-11,-7.1,0.00,0.00,2.20
2021-01-12,-3.0,0.00,0.56,4.69
2021-01-13,0.3,0.30,0.00,6.01
2021-01-14,1.4,0.00,0.00,4.24
2021-01-15,0.0,2.00,0.00,6.55
2021-01-16,-6.4,0.00,0.00,5.33
2021-01-17,-4.9,0.00,0.00,3.76
2021-01-18,-5.9,0.00,0.70,8.02
2021-01-19,-7.0,0.00,0.00,2.72
2021-01-20,-0.4,0.00,0.00,3.31
2021-01-21,2.4,8.40,0.00,3.20
2021-01-22,5.2,0.00,0.00,4.93
2021-01-23,4.5,0.00,0.00,6.10
2021-01-24,3.4,0.00,0.00,3.11
2021-01-25,4.7,0.00,0.00,3.61
2021-01-26,1.8,0.60,0.00,4.90
2021-01-27,0.1,0.00,0.00,4.00
2021-01-28,-6.0,0.00,1.19,10.68
2021-01-29,-7.1,0.00,0.21,5.87
2021-01-30,-1.6,0.00,0.21,5.41
2021-01-31,4.2,5.70,0.00,4.27
2021-02-01,-0.3,0.10,0.00,6.45
2021-02-02,-6.6,0.00,0.00,6.52
2021-02-03,-2.4,0.00,2.80,7.00
2021-02-04,-4.6,0.00,0.00,4.07
2021-02-05,1.9,0.00,0.00,6.01
2021-02-06,5.5,0.00,0.00,5.91
2021-02-07,-0.6,0.00,0.00,5.83
2021-02-08,-4.3,0.00,0.00,6.97
2021-02-09,-1.4,0.00,0.00,4.54
2021-02-10,2.4,0.00,0.00,5.75
2021-02-11,1.8,0.00,0.00,2.72
2021-02-12,2.8,0.00,0.00,3.22
2021-02-13,5.1,0.00,0.00,3.24
2021-02-14,6.9,0.20,0.00,5.29
2021-02-15,-3.6,0.00,0.00,8.65
2021-02-16,-6.5,0.00,1.12,7.16
2021-02-17,-8.5,0.00,0.00,9.29
2021-02-18,-4.9,0.00,0.00,5.02
2021-02-19,3.3,0.00,0.00,7.78
2021-02-20,5.6,0.00,0.00,3.62
2021-02-21,8.4,0.00,0.00,6.44
2021-02-22,2.5,0.00,0.00,6.80
2021-02-23,-1.4,0.00,0.00,4.97
2021-02-24,0.8,0.00,0.00,3.14
2021-02-25,1.4,0.00,0.00,3.22
2021-02-26,6.3,0.00,0.00,4.66
2021-02-27,6.3,0.00,0.00,6.10
2021-02-28,7.4,13.40,0.00,3.64
2021-03-01,2.3,38.50,3.36,6.80
2021-03-02,0.4,0.00,0.00,2.97
2021-03-03,3.2,0.00,0.00,2.92
2021-03-04,5.0,0.00,0.00,2.81
2021-03-05,7.1,0.00,0.00,4.72
2021-03-06,3.8,0.00,0.00,6.57
2021-03-07,4.1,0.00,0.00,3.60
2021-03-08,4.6,0.00,0.00,3.26
2021-03-09,4.0,0.00,0.00,4.69
2021-03-10,6.6,0.00,0.00,2.85
2021-03-11,8.6,0.00,0.00,3.72
2021-03-12,6.8,0.90,0.00,5.27
2021-03-13,6.8,0.00,0.00,4.05
2021-03-14,6.5,0.00,0.00,4.21
2021-03-15,9.2,1.80,0.00,5.28
2021-03-16,5.1,0.00,0.00,5.71
2021-03-17,7.0,0.00,0.00,3.37
2021-03-18,11.4,0.00,0.00,4.02
2021-03-19,13.1,0.00,0.00,3.99
2021-03-20,7.4,4.40,0.00,4.60
2021-03-21,4.5,0.80,0.00,8.61
2021-03-22,4.9,0.00,0.00,6.26
2021-03-23,7.9,0.00,0.00,6.81
2021-03-24,9.0,0.00,0.00,5.12
2021-03-25,9.0,0.00,0.00,4.69
2021-03-26,11.7,0.00,0.00,3.40
2021-03-27,11.7,28.70,0.00,6.17
2021-03-28,8.8,1.40,0.00,7.26
2021-03-29,7.7,0.00,0.00,6.38
2021-03-30,8.5,0.00,0.00,4.42
2021-03-31,12.1,0.00,0.00,3.55
2021-04-01,14.5,0.00,0.00,5.58
2021-04-02,17.0,0.10,0.00,6.05
2021-04-03,11.9,40.30,0.00,6.13
2021-04-04,9.5,0.00,0.00,5.48
2021-04-05,10.6,0.00,0.00,4.08
2021-04-06,10.9,0.00,0.00,5.34
2021-04-07,10.4,0.00,0.00,5.57
2021-04-08,10.4,0.00,0.00,5.33
2021-04-09,11.1,0.00,0.00,5.02
2021-04-10,10.0,0.00,0.00,4.55
2021-04-11,14.4,0.00,0.00,2.66
2021-04-12,12.4,26.60,0.00,5.59
2021-04-13,8.0,0.00,0.00,6.35
2021-04-14,7.4,0.00,0.00,6.66
2021-04-15,10.3,0.00,0.00,3.80
2021-04-16,8.9,1.30,0.00,7.42
2021-04-17,8.2,0.50,0.00,6.67
2021-04-18,8.9,0.00,0.00,6.11
2021-04-19,10.3,0.00,0.00,5.46
2021-04-20,13.0,0.00,0.00,3.73
2021-04-21,17.7,0.00,0.00,4.44
2021-04-22,18.6,1.50,0.00,4.73
2021-04-23,16.5,0.40,0.00,7.31
2021-04-24,15.4,0.00,0.00,6.75
