time,temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm),wind_speed_10m_max (m/s)
2025-01-01,0.6,0.00,0.00,3.85
2025-01-02,-1.3,0.00,0.00,2.97
2025-01-03,-2.3,0.00,0.00,3.77
2025-01-04,-0.1,0.00,1.54,3.23
2025-01-05,0.3,1.10,4.55,2.98
2025-01-06,-3.5,0.00,0.28,4.41
2025-01-07,-3.5,0.00,0.00,4.92
2025-01-08,-5.7,0.00,0.00,5.20
2025-01-09,-11.0,0.00,0.00,6.20
2025-01-10,-7.2,0.00,0.00,2.51
2025-01-11,-4.9,0.00,0.00,1.83
2025-01-12,-2.7,0.00,0.00,2.14
2025-01-13,0.4,0.30,0.56,3.88
2025-01-14,-0.2,0.20,0.00,3.93
2025-01-15,-3.6,0.00,0.00,4.30
2025-01-16,-2.0,0.00,0.07,4.34
2025-01-17,-1.5,0.00,0.00,2.06
2025-01-18,-0.1,0.00,0.00,2.01
2025-01-19,2.0,0.10,0.00,2.16
2025-01-20,0.8,0.00,0.00,2.24
2025-01-21,1.2,0.20,0.00,1.63
2025-01-22,-0.0,0.00,0.00,1.92
2025-01-23,-0.3,0.00,0.00,2.12
2025-01-24,1.9,0.00,0.00,2.53
2025-01-25,3.0,0.00,0.00,3.99
2025-01-26,2.8,0.60,1.82,3.53
2025-01-27,-2.9,0.00,1.54,5.34
2025-01-28,-5.7,0.00,0.07,5.87
2025-01-29,-6.7,0.00,0.00,5.10
2025-01-30,-3.0,0.00,0.28,1.80
2025-01-31,-1.3,0.10,1.19,1.68
2025-02-01,0.6,0.00,0.00,2.13
2025-02-02,-0.1,0.00,0.00,4.41
2025-02-03,-8.0,0.00,0.00,5.87
2025-02-04,-9.7,0.00,0.00,4.81
2025-02-05,-8.6,0.00,0.00,6.32
2025-02-06,-5.7,0.00,1.26,5.27
2025-02-07,-10.5,0.00,0.07,7.15
2025-02-08,-8.1,0.00,0.00,4.79
2025-02-09,-5.5,0.00,0.00,3.17
2025-02-10,-4.3,0.00,0.14,3.40
2025-02-11,0.6,0.00,0.91,2.33
2025-02-12,-2.0,0.20,0.56,5.86
2025-02-13,0.6,0.00,0.00,4.62
