time,temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm),wind_speed_10m_max (m/s)
2024-01-01,10.3,0.20,0.00,3.37
2024-01-02,11.1,4.50,0.00,7.52
2024-01-03,11.1,11.50,0.00,9.40
2024-01-04,10.3,0.30,0.00,4.55
2024-01-05,11.6,0.50,0.00,4.34
2024-01-06,10.5,4.10,0.00,9.88
2024-01-07,7.9,0.00,0.00,6.30
2024-01-08,7.8,0.00,0.00,4.57
2024-01-09,11.0,6.50,0.00,7.56
2024-01-10,10.2,3.70,0.00,9.81
2024-01-11,9.0,0.10,0.00,10.07
2024-01-12,8.1,0.00,0.00,4.01
2024-01-13,9.9,3.80,0.00,8.16
2024-01-14,12.2,9.30,0.00,9.90
2024-01-15,10.4,0.00,0.00,3.67
2024-01-16,9.6,3.10,0.00,3.76
2024-01-17,12.0,11.00,0.00,5.43
2024-01-18,10.4,0.00,0.00,3.06
2024-01-19,10.5,6.10,0.00,3.06
2024-01-20,12.7,14.50,0.00,7.58
2024-01-21,13.0,4.10,0.00,6.85
2024-01-22,13.5,23.90,0.00,10.34
2024-01-23,12.7,2.20,0.00,6.35
2024-01-24,12.4,5.80,0.00,6.40
2024-01-25,12.5,0.60,0.00,6.48
2024-01-26,11.8,0.00,0.00,6.00
2024-01-27,12.5,0.00,0.00,4.73
2024-01-28,14.1,0.00,0.00,5.94
2024-01-29,13.0,0.00,0.00,4.18
2024-01-30,13.3,0.00,0.00,5.20
2024-01-31,13.8,5.30,0.00,9.63
2024-02-01,12.2,44.20,0.00,9.29
2024-02-02,10.8,9.20,0.00,6.55
2024-02-03,9.9,1.70,0.00,6.60
2024-02-04,11.7,33.60,0.00,13.39
2024-02-05,12.1,18.30,0.00,15.32
2024-02-06,9.9,0.90,0.00,4.44
2024-02-07,10.2,7.50,0.00,9.30
2024-02-08,8.4,0.10,0.00,10.01
2024-02-09,8.3,0.00,0.00,3.88
2024-02-10,9.9,0.00,0.00,4.70
2024-02-11,10.6,0.00,0.00,5.90
2024-02-12,9.4,0.00,0.00,3.40
2024-02-13,10.6,0.20,0.00,3.91
2024-02-14,11.2,3.10,0.00,8.71
2024-02-15,12.1,8.50,0.00,8.54
2024-02-16,11.6,0.00,0.00,4.10
2024-02-17,12.2,16.20,0.00,7.42
2024-02-18,13.3,13.40,0.00,9.70
2024-02-19,13.3,24.20,0.00,11.82
2024-02-20,12.3,12.20,0.00,11.40
2024-02-21,10.8,2.40,0.00,5.14
2024-02-22,10.8,0.00,0.00,3.53
2024-02-23,11.7,0.00,0.00,5.19
2024-02-24,12.6,0.00,0.00,4.32
2024-02-25,12.7,0.00,0.00,5.46
2024-02-26,12.1,0.10,0.00,6.06
2024-02-27,10.5,0.00,0.00,6.40
2024-02-28,10.5,0.00,0.00,5.25
