time,temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm),wind_speed_10m_max (m/s)
2025-01-01,21.0,1.30,0.00,4.21
2025-01-02,21.5,0.00,0.00,4.99
2025-01-03,21.2,0.20,0.00,4.65
2025-01-04,20.5,0.00,0.00,5.71
2025-01-05,20.7,0.00,0.00,5.41
2025-01-06,21.4,0.00,0.00,5.12
2025-01-07,20.9,4.30,0.00,4.63
2025-01-08,21.9,0.10,0.00,4.11
2025-01-09,22.3,0.20,0.00,4.53
2025-01-10,22.5,0.00,0.00,5.34
2025-01-11,21.1,3.80,0.00,8.61
2025-01-12,19.6,17.90,0.00,7.25
2025-01-13,20.0,45.50,0.00,3.65
2025-01-14,20.3,21.20,0.00,4.14
2025-01-15,21.6,0.10,0.00,3.60
2025-01-16,21.1,3.00,0.00,4.91
2025-01-17,22.3,0.00,0.00,4.19
2025-01-18,22.0,0.00,0.00,4.43
2025-01-19,21.9,0.70,0.00,4.37
2025-01-20,21.4,1.00,0.00,3.85
2025-01-21,21.5,5.50,0.00,2.78
2025-01-22,20.5,22.30,0.00,3.28
2025-01-23,20.4,24.10,0.00,2.91
2025-01-24,20.3,31.60,0.00,4.18
2025-01-25,20.6,10.50,0.00,4.63
2025-01-26,21.0,10.70,0.00,4.11
2025-01-27,22.1,0.30,0.00,4.14
2025-01-28,22.2,3.00,0.00,4.88
2025-01-29,22.3,0.80,0.00,4.00
2025-01-30,22.3,0.10,0.00,4.62
2025-01-31,21.8,3.00,0.00,2.96
2025-02-01,22.2,19.80,0.00,4.34
2025-02-02,22.2,2.10,0.00,3.20
2025-02-03,21.0,11.30,0.00,3.61
2025-02-04,18.2,66.00,0.00,3.84
2025-02-05,20.4,17.60,0.00,4.36
2025-02-06,20.6,2.70,0.00,3.78
2025-02-07,21.3,6.40,0.00,3.45
2025-02-08,21.4,1.30,0.00,3.62
2025-02-09,21.5,8.40,0.00,2.38
2025-02-10,21.1,15.50,0.00,4.34
2025-02-11,21.5,1.80,0.00,4.62
2025-02-12,21.0,12.50,0.00,3.34
2025-02-13,21.0,32.50,0.00,3.29
2025-02-14,20.5,10.90,0.00,2.26
2025-02-15,20.4,9.40,0.00,5.12
2025-02-16,19.8,19.30,0.00,3.02
2025-02-17,20.1,16.10,0.00,4.52
2025-02-18,20.1,24.10,0.00,3.94
2025-02-19,19.7,61.70,0.00,2.21
2025-02-20,21.0,22.40,0.00,3.24
2025-02-21,20.1,22.30,0.00,3.32
2025-02-22,20.4,47.10,0.00,3.31
2025-02-23,20.0,17.40,0.00,3.65
2025-02-24,20.8,1.10,0.00,4.30
2025-02-25,21.0,0.70,0.00,5.56
2025-02-26,21.0,0.50,0.00,4.76
2025-02-27,21.1,1.00,0.00,7.56
2025-02-28,19.6,11.60,0.00,6.95
2025-03-01,21.1,1.00,0.00,7.48
2025-03-02,21.0,0.00,0.00,5.47
2025-03-03,21.2,0.20,0.00,3.98
2025-03-04,21.4,1.50,0.00,3.33
2025-03-05,21.9,0.00,0.00,3.92
2025-03-06,20.9,0.00,0.00,5.09
2025-03-07,20.2,0.40,0.00,6.44
2025-03-08,20.0,3.40,0.00,8.66
2025-03-09,19.7,3.20,0.00,7.03
2025-03-10,20.4,2.60,0.00,5.85
2025-03-11,20.3,1.00,0.00,3.25
2025-03-12,19.8,12.30,0.00,3.00
2025-03-13,20.5,10.70,0.00,3.37
2025-03-14,20.9,2.90,0.00,5.47
2025-03-15,20.5,0.50,0.00,7.47
2025-03-16,20.8,2.40,0.00,3.35
2025-03-17,20.1,0.50,0.00,5.34
2025-03-18,18.1,0.00,0.00,6.95
2025-03-19,18.4,0.00,0.00,5.48
2025-03-20,19.6,0.90,0.00,5.18
2025-03-21,19.9,7.70,0.00,3.64
2025-03-22,19.6,12.40,0.00,3.02
2025-03-23,19.7,13.20,0.00,2.25
2025-03-24,19.5,2.10,0.00,2.69
2025-03-25,20.2,3.20,0.00,3.80
2025-03-26,20.5,2.70,0.00,3.99
2025-03-27,20.4,0.00,0.00,3.60
2025-03-28,19.7,0.00,0.00,4.79
2025-03-29,18.9,0.00,0.00,4.50
2025-03-30,19.2,0.60,0.00,4.93
2025-03-31,20.0,0.30,0.00,5.21
2025-04-01,20.1,0.70,0.00,4.98
2025-04-02,20.1,0.00,0.00,3.90
2025-04-03,20.5,0.00,0.00,4.25
2025-04-04,19.6,0.00,0.00,4.83
2025-04-05,19.7,1.40,0.00,3.83
2025-04-06,19.8,0.00,0.00,4.55
2025-04-07,19.7,0.60,0.00,4.20
2025-04-08,20.7,0.20,0.00,3.31
2025-04-09,21.2,1.40,0.00,3.95
2025-04-10,19.7,8.40,0.00,3.20
2025-04-11,19.8,6.50,0.00,2.71
2025-04-12,20.1,0.10,0.00,4.58
2025-04-13,19.8,1.20,0.00,5.03
2025-04-14,20.8,0.60,0.00,4.51
2025-04-15,20.7,1.10,0.00,4.02
2025-04-16,20.1,0.10,0.00,4.41
2025-04-17,19.9,0.00,0.00,3.39
2025-04-18,20.7,0.00,0.00,4.00
2025-04-19,20.9,0.00,0.00,3.00
2025-04-20,21.3,1.40,0.00,2.76
2025-04-21,20.0,10.40,0.00,2.91
2025-04-22,20.1,5.50,0.00,2.45
2025-04-23,20.8,2.60,0.00,3.74
2025-04-24,20.8,0.70,0.00,4.09
2025-04-25,20.0,0.00,0.00,3.69
2025-04-26,20.1,0.00,0.00,3.98
2025-04-27,19.3,1.10,0.00,4.28
2025-04-28,19.6,1.80,0.00,4.26
2025-04-29,19.4,0.50,0.00,5.51
2025-04-30,19.2,1.20,0.00,7.39
2025-05-01,19.4,1.50,0.00,7.25
2025-05-02,20.1,0.20,0.00,4.57
2025-05-03,20.8,0.00,0.00,2.67
2025-05-04,20.4,13.30,0.00,2.86
2025-05-05,18.5,0.80,0.00,5.17
2025-05-06,16.1,0.80,0.00,6.80
2025-05-07,17.1,0.00,0.00,7.00
2025-05-08,18.2,0.20,0.00,4.40
2025-05-09,19.1,3.20,0.00,4.54
2025-05-10,19.0,1.00,0.00,6.38
2025-05-11,19.2,1.50,0.00,5.27
2025-05-12,19.5,1.90,0.00,3.86
2025-05-13,17.8,0.00,0.00,5.84
2025-05-14,17.9,0.20,0.00,7.01
2025-05-15,17.4,0.10,0.00,6.44
2025-05-16,17.6,0.00,0.00,6.55
2025-05-17,18.0,0.60,0.00,5.56
2025-05-18,18.1,0.00,0.00,3.62
2025-05-19,19.3,0.00,0.00,3.11
2025-05-20,19.4,0.00,0.00,4.66
2025-05-21,19.0,0.00,0.00,3.71
2025-05-22,19.1,0.00,0.00,3.23
2025-05-23,16.7,0.10,0.00,6.75
2025-05-24,15.3,0.00,0.00,5.15
2025-05-25,14.1,0.00,0.00,5.69
2025-05-26,14.8,0.10,0.00,5.75
2025-05-27,15.4,0.00,0.00,3.79
2025-05-28,16.4,0.00,0.00,4.40
2025-05-29,16.4,0.20,0.00,4.41
2025-05-30,16.0,0.00,0.00,5.94
2025-05-31,15.0,0.00,0.00,4.15
2025-06-01,14.6,0.00,0.00,3.76
2025-06-02,16.0,0.00,0.00,3.76
2025-06-03,16.9,0.00,0.00,3.50
2025-06-04,17.4,0.00,0.00,3.06
2025-06-05,16.0,0.00,0.00,5.14
2025-06-06,16.6,0.00,0.00,5.76
2025-06-07,17.1,0.00,0.00,4.62
2025-06-08,16.8,0.00,0.00,5.78
2025-06-09,15.1,0.50,0.00,5.36
2025-06-10,14.3,0.00,0.00,5.41
2025-06-11,15.3,0.00,0.00,2.77
2025-06-12,16.3,0.00,0.00,4.03
2025-06-13,16.0,0.00,0.00,5.39
2025-06-14,13.9,0.20,0.00,7.28
2025-06-15,13.8,0.00,0.00,8.86
2025-06-16,14.5,0.00,0.00,6.70
2025-06-17,14.4,0.30,0.00,4.52
2025-06-18,14.3,0.00,0.00,3.45
2025-06-19,15.1,0.00,0.00,3.93
2025-06-20,16.7,0.00,0.00,3.59
2025-06-21,17.3,0.00,0.00,3.80
2025-06-22,16.6,0.00,0.00,4.56
2025-06-23,15.2,0.00,0.00,3.70
2025-06-24,16.6,2.60,0.00,4.15
2025-06-25,14.8,0.10,0.00,4.35
2025-06-26,14.8,0.00,0.00,4.66
2025-06-27,16.3,0.00,0.00,4.15
