time,temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm),wind_speed_10m_max (m/s)
2024-01-01,2.1,0.10,0.00,3.52
2024-01-02,0.8,0.00,0.00,3.52
2024-01-03,-1.3,0.00,0.07,2.88
2024-01-04,1.9,0.60,0.00,4.83
2024-01-05,0.5,0.00,0.00,4.61
2024-01-06,-1.8,0.00,0.28,4.39
2024-01-07,-6.7,0.00,0.00,6.48
2024-01-08,-3.1,0.00,0.49,3.45
2024-01-09,-2.1,0.00,1.19,2.14
2024-01-10,-2.5,0.00,0.00,2.38
2024-01-11,-0.6,0.00,0.00,6.01
2024-01-12,-2.5,0.00,0.00,4.03
2024-01-13,-2.1,0.00,0.00,2.75
2024-01-14,-2.7,2.70,0.00,4.30
2024-01-15,-4.9,0.00,0.00,4.21
2024-01-16,-2.2,0.00,0.00,2.53
2024-01-17,0.4,4.60,2.87,2.52
2024-01-18,3.5,0.00,0.00,5.83
2024-01-19,3.3,0.00,0.00,5.86
2024-01-20,1.7,0.40,1.26,6.32
2024-01-21,-2.0,0.00,0.07,5.41
2024-01-22,-10.9,0.00,0.00,6.35
2024-01-23,-11.0,0.00,0.00,6.62
2024-01-24,-7.5,0.00,0.00,6.38
2024-01-25,-5.1,0.00,0.00,3.83
2024-01-26,-2.8,0.00,0.00,4.30
2024-01-27,-2.0,0.00,0.00,3.96
2024-01-28,-2.8,0.00,0.00,3.60
2024-01-29,-1.7,0.00,0.00,2.62
2024-01-30,0.9,0.00,0.00,2.30
2024-01-31,1.4,0.00,0.00,3.34
2024-02-01,1.7,0.00,0.00,4.67
2024-02-02,0.3,0.00,0.00,3.24
2024-02-03,2.9,1.40,0.00,3.37
2024-02-04,4.8,2.40,0.21,5.79
2024-02-05,0.6,0.50,3.64,6.85
2024-02-06,-0.1,0.20,0.00,3.51
2024-02-07,-1.5,0.00,0.00,2.10
2024-02-08,-1.1,0.00,0.00,2.51
2024-02-09,-1.1,0.00,0.00,4.88
2024-02-10,-1.0,0.00,0.00,5.00
2024-02-11,-1.1,0.00,0.00,6.94
2024-02-12,2.4,0.00,0.00,3.47
2024-02-13,7.6,0.40,0.00,7.11
2024-02-14,10.8,1.10,0.00,4.87
2024-02-15,0.4,4.90,2.24,6.16
2024-02-16,-0.1,0.00,0.00,2.92
2024-02-17,2.6,0.00,0.00,3.11
2024-02-18,8.5,15.40,0.00,4.46
2024-02-19,5.7,1.70,0.07,5.25
2024-02-20,3.7,3.00,2.24,5.99
2024-02-21,0.8,1.00,10.43,6.52
2024-02-22,-0.6,0.00,0.70,4.68
2024-02-23,0.5,0.00,0.00,5.11
2024-02-24,1.9,0.80,2.24,4.16
2024-02-25,1.3,0.00,0.14,3.50
2024-02-26,2.1,0.00,0.00,3.57
2024-02-27,4.0,0.00,0.00,4.61
2024-02-28,3.4,0.00,0.00,2.91
2024-02-29,1.4,0.10,0.00,6.40
2024-03-01,-5.7,0.00,0.00,7.03
2024-03-02,0.8,0.30,2.59,9.19
2024-03-03,1.2,0.00,0.00,5.12
2024-03-04,4.6,0.00,0.00,2.45
2024-03-05,4.8,0.50,0.07,4.36
2024-03-06,4.4,0.00,0.14,4.28
2024-03-07,1.2,1.40,0.35,5.20
2024-03-08,-0.0,0.00,0.00,6.85
2024-03-09,0.6,0.00,0.00,4.74
2024-03-10,2.6,0.00,0.00,4.78
2024-03-11,5.3,0.70,0.00,3.40
2024-03-12,3.7,1.40,0.00,3.11
2024-03-13,4.4,0.00,0.00,6.45
2024-03-14,5.5,0.00,0.00,4.66
2024-03-15,5.8,0.00,0.00,5.95
2024-03-16,9.6,0.10,0.00,5.30
2024-03-17,4.7,0.00,0.00,7.14
2024-03-18,5.7,0.00,0.00,4.54
2024-03-19,4.7,0.70,0.00,9.32
2024-03-20,2.9,0.00,0.00,6.20
2024-03-21,4.5,0.00,0.00,5.00
2024-03-22,10.5,17.60,0.00,8.63
2024-03-23,10.2,0.00,0.00,3.04
2024-03-24,12.8,0.00,0.00,3.91
2024-03-25,7.3,13.90,0.21,6.99
2024-03-26,6.1,0.70,0.00,3.68
2024-03-27,9.6,1.30,0.00,3.45
2024-03-28,8.1,1.70,0.00,4.11
2024-03-29,6.5,4.90,0.07,8.39
2024-03-30,6.6,0.70,0.21,5.53
2024-03-31,8.5,0.00,0.00,3.31
2024-04-01,9.1,0.00,0.00,4.49
2024-04-02,14.5,0.00,0.00,3.34
2024-04-03,12.4,0.50,0.00,3.61
2024-04-04,13.6,0.00,0.00,4.40
2024-04-05,10.4,0.10,0.00,4.74
2024-04-06,10.2,0.00,0.00,4.78
2024-04-07,12.8,0.00,0.00,4.61
2024-04-08,13.9,0.00,0.00,5.91
2024-04-09,12.1,0.00,0.00,6.55
2024-04-10,12.4,0.30,0.00,5.19
2024-04-11,12.9,0.20,0.00,3.61
2024-04-12,14.6,0.00,0.00,4.30
2024-04-13,17.1,0.00,0.00,4.64
2024-04-14,20.3,1.30,0.00,6.29
2024-04-15,12.9,18.20,0.00,5.09
2024-04-16,10.7,0.40,0.00,5.28
2024-04-17,13.0,0.00,0.00,4.65
2024-04-18,14.9,0.00,0.00,5.02
2024-04-19,15.9,0.00,0.00,4.16
2024-04-20,13.7,5.70,0.00,5.82
2024-04-21,16.3,0.10,0.00,6.28
2024-04-22,16.5,0.00,0.00,5.55
2024-04-23,15.7,11.10,0.00,6.82
2024-04-24,12.4,2.20,0.00,4.08
2024-04-25,13.0,0.00,0.00,3.74
2024-04-26,15.7,0.00,0.00,3.96
2024-04-27,16.2,0.00,0.00,4.88
2024-04-28,19.2,0.00,0.00,3.91
2024-04-29,17.6,0.00,0.00,5.30
2024-04-30,16.2,0.20,0.00,5.24
2024-05-01,16.1,0.00,0.00,3.64
2024-05-02,16.3,0.00,0.00,5.08
2024-05-03,18.5,0.00,0.00,4.66
2024-05-04,20.6,8.10,0.00,5.82
2024-05-05,16.4,62.50,0.00,6.11
2024-05-06,13.7,4.00,0.00,5.96
2024-05-07,12.2,0.30,0.00,6.21
2024-05-08,14.0,0.20,0.00,3.51
2024-05-09,14.4,0.00,0.00,5.95
2024-05-10,16.3,0.00,0.00,5.41
2024-05-11,15.4,16.20,0.00,9.91
2024-05-12,15.9,0.00,0.00,5.20
2024-05-13,16.3,0.00,0.00,5.02
2024-05-14,16.3,0.00,0.00,4.55
2024-05-15,10.7,26.10,0.00,6.10
2024-05-16,12.7,0.00,0.00,5.30
2024-05-17,16.9,0.00,0.00,4.31
2024-05-18,17.9,0.00,0.00,4.24
2024-05-19,19.3,0.00,0.00,4.08
2024-05-20,17.3,2.10,0.00,4.88
2024-05-21,19.3,0.00,0.00,2.89
2024-05-22,18.0,0.00,0.00,4.18
2024-05-23,18.0,0.00,0.00,5.03
2024-05-24,20.6,0.00,0.00,3.69
2024-05-25,19.6,2.00,0.00,4.48
2024-05-26,17.8,5.10,0.00,5.88
2024-05-27,17.7,0.00,0.00,7.00
2024-05-28,18.6,0.00,0.00,5.19
2024-05-29,19.2,0.00,0.00,4.96
2024-05-30,19.4,0.00,0.00,2.42
2024-05-31,19.1,1.90,0.00,5.89
2024-06-01,19.4,0.10,0.00,5.19
2024-06-02,19.8,0.00,0.00,5.61
2024-06-03,21.0,0.00,0.00,4.91
2024-06-04,22.4,0.00,0.00,5.95
2024-06-05,22.8,0.00,0.00,4.90
2024-06-06,22.1,0.20,0.00,4.03
2024-06-07,22.0,5.40,0.00,4.47
2024-06-08,18.9,10.40,0.00,4.02
2024-06-09,21.7,0.00,0.00,4.73
2024-06-10,23.3,0.00,0.00,5.59
2024-06-11,22.8,0.00,0.00,5.78
2024-06-12,24.0,0.00,0.00,5.32
2024-06-13,25.1,0.00,0.00,4.64
2024-06-14,25.8,3.40,0.00,5.82
2024-06-15,21.9,3.80,0.00,5.14
2024-06-16,22.4,0.10,0.00,5.78
2024-06-17,22.8,0.00,0.00,5.42
2024-06-18,24.1,0.00,0.00,5.15
2024-06-19,27.5,0.00,0.00,3.62
2024-06-20,27.7,0.00,0.00,5.50
2024-06-21,26.9,0.50,0.00,5.06
2024-06-22,23.4,28.10,0.00,3.37
2024-06-23,23.7,15.60,0.00,6.08
2024-06-24,21.8,0.40,0.00,5.97
2024-06-25,21.1,1.00,0.00,6.36
2024-06-26,23.6,0.30,0.00,4.94
2024-06-27,24.9,0.00,0.00,2.41
2024-06-28,25.0,0.00,0.00,4.10
2024-06-29,26.3,38.40,0.00,6.76
2024-06-30,22.4,0.60,0.00,8.54
2024-07-01,25.1,0.00,0.00,4.44
2024-07-02,23.7,60.60,0.00,7.18
2024-07-03,23.9,3.20,0.00,7.47
2024-07-04,25.5,5.00,0.00,8.71
2024-07-05,23.1,1.40,0.00,6.17
2024-07-06,24.2,24.10,0.00,9.27
2024-07-07,24.4,35.70,0.00,4.89
2024-07-08,22.9,20.10,0.00,3.94
2024-07-09,24.1,23.30,0.00,5.69
2024-07-10,25.5,0.10,0.00,4.02
2024-07-11,23.7,0.40,0.00,3.86
2024-07-12,25.3,0.60,0.00,3.04
2024-07-13,26.2,5.70,0.00,3.27
2024-07-14,26.2,1.30,0.00,4.50
2024-07-15,27.2,0.60,0.00,3.81
2024-07-16,25.5,41.30,0.00,5.49
2024-07-17,25.3,87.90,0.00,6.69
2024-07-18,24.4,38.80,0.00,5.72
2024-07-19,25.4,0.90,0.00,4.90
2024-07-20,25.7,31.00,0.00,10.31
2024-07-21,26.6,6.80,0.00,5.88
2024-07-22,26.1,55.50,0.00,10.40
2024-07-23,25.1,7.80,0.00,6.66
2024-07-24,26.4,3.20,0.00,5.44
2024-07-25,27.8,6.10,0.00,3.24
2024-07-26,27.8,30.50,0.00,5.79
