time,temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm),wind_speed_10m_max (m/s)
2023-01-01,20.0,2.60,0.00,3.53
2023-01-02,19.9,14.60,0.00,2.91
2023-01-03,20.2,0.40,0.00,4.70
2023-01-04,20.0,22.60,0.00,3.31
2023-01-05,19.8,0.20,0.00,5.20
2023-01-06,20.0,0.30,0.00,4.37
2023-01-07,20.7,0.20,0.00,6.00
2023-01-08,20.9,5.50,0.00,4.01
2023-01-09,20.4,45.40,0.00,2.85
2023-01-10,19.3,4.50,0.00,4.62
2023-01-11,19.7,27.70,0.00,2.88
2023-01-12,19.3,18.80,0.00,3.16
2023-01-13,19.6,15.10,0.00,4.00
2023-01-14,19.5,6.10,0.00,5.60
2023-01-15,19.0,3.90,0.00,5.79
2023-01-16,19.1,1.40,0.00,5.63
2023-01-17,19.2,5.90,0.00,6.48
2023-01-18,19.0,0.10,0.00,7.12
2023-01-19,19.0,12.10,0.00,9.32
2023-01-20,18.6,40.60,0.00,7.85
2023-01-21,18.6,70.10,0.00,4.94
2023-01-22,17.6,73.30,0.00,4.33
2023-01-23,18.6,43.30,0.00,4.62
2023-01-24,19.3,23.00,0.00,5.91
2023-01-25,18.9,7.30,0.00,4.68
2023-01-26,18.4,27.70,0.00,5.70
2023-01-27,20.1,19.20,0.00,7.56
2023-01-28,20.8,3.50,0.00,5.92
2023-01-29,21.1,0.00,0.00,6.49
2023-01-30,20.4,13.20,0.00,3.57
2023-01-31,20.7,19.20,0.00,4.44
2023-02-01,19.6,14.30,0.00,5.02
2023-02-02,19.8,3.30,0.00,4.33
2023-02-03,19.6,10.90,0.00,5.09
2023-02-04,19.8,18.30,0.00,4.49
2023-02-05,19.0,7.20,0.00,4.75
2023-02-06,19.1,10.10,0.00,4.60
2023-02-07,19.5,3.50,0.00,6.53
2023-02-08,19.9,1.00,0.00,5.48
2023-02-09,20.0,0.90,0.00,5.25
2023-02-10,19.0,0.20,0.00,4.37
2023-02-11,20.2,0.10,0.00,3.71
2023-02-12,20.1,0.00,0.00,4.27
2023-02-13,19.7,0.00,0.00,5.34
2023-02-14,18.8,3.30,0.00,4.65
2023-02-15,19.7,0.00,0.00,5.20
2023-02-16,19.5,24.10,0.00,3.22
2023-02-17,20.3,17.20,0.00,2.39
2023-02-18,20.4,5.00,0.00,2.69
2023-02-19,21.8,0.30,0.00,4.02
2023-02-20,20.7,0.00,0.00,3.71
2023-02-21,20.4,6.40,0.00,4.96
2023-02-22,21.1,5.40,0.00,4.03
2023-02-23,19.7,10.50,0.00,5.10
2023-02-24,20.0,0.20,0.00,4.30
2023-02-25,19.7,0.10,0.00,4.56
2023-02-26,19.9,0.00,0.00,3.88
2023-02-27,19.4,0.10,0.00,4.31
2023-02-28,19.5,2.70,0.00,4.14
2023-03-01,19.1,14.70,0.00,5.97
2023-03-02,19.5,11.80,0.00,3.13
2023-03-03,19.6,15.40,0.00,3.78
2023-03-04,19.6,9.80,0.00,5.53
2023-03-05,19.3,17.20,0.00,7.14
2023-03-06,20.3,3.30,0.00,7.88
2023-03-07,20.7,3.40,0.00,5.41
2023-03-08,20.3,4.10,0.00,3.31
2023-03-09,19.7,16.30,0.00,2.25
2023-03-10,19.3,18.70,0.00,4.33
2023-03-11,18.8,1.90,0.00,3.91
2023-03-12,18.6,9.40,0.00,3.53
2023-03-13,18.5,2.90,0.00,5.00
2023-03-14,19.2,0.00,0.00,4.83
2023-03-15,19.1,6.80,0.00,3.86
2023-03-16,19.7,6.70,0.00,3.16
2023-03-17,19.8,0.50,0.00,3.98
2023-03-18,20.4,5.80,0.00,3.89
2023-03-19,19.9,8.30,0.00,4.10
2023-03-20,20.3,18.60,0.00,3.20
2023-03-21,19.5,19.10,0.00,3.23
2023-03-22,19.1,14.30,0.00,3.71
2023-03-23,19.6,3.70,0.00,4.90
2023-03-24,19.8,2.50,0.00,4.30
2023-03-25,19.1,1.00,0.00,4.81
2023-03-26,19.6,3.60,0.00,4.24
2023-03-27,19.7,2.10,0.00,3.11
2023-03-28,19.9,12.20,0.00,4.40
2023-03-29,19.6,7.20,0.00,4.85
2023-03-30,19.7,13.10,0.00,3.40
2023-03-31,19.8,9.10,0.00,3.54
2023-04-01,19.9,0.40,0.00,3.91
2023-04-02,19.5,29.60,0.00,3.05
2023-04-03,19.7,8.70,0.00,2.24
2023-04-04,18.9,8.50,0.00,2.53
2023-04-05,19.2,8.80,0.00,3.82
2023-04-06,18.6,13.70,0.00,2.96
2023-04-07,19.1,5.90,0.00,4.18
2023-04-08,19.2,0.30,0.00,3.52
2023-04-09,18.4,8.60,0.00,4.03
2023-04-10,17.8,6.60,0.00,2.68
