time,temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm),wind_speed_10m_max (m/s)
2022-01-01,6.9,0.00,0.00,6.30
2022-01-02,6.2,0.00,0.00,4.39
2022-01-03,9.2,0.00,0.00,8.51
2022-01-04,11.7,5.80,0.00,8.80
2022-01-05,11.0,0.00,0.00,3.64
2022-01-06,10.6,0.00,0.00,2.59
2022-01-07,10.7,1.40,0.00,6.72
2022-01-08,9.4,0.00,0.00,5.36
2022-01-09,8.7,0.00,0.00,6.78
2022-01-10,9.7,0.00,0.00,4.88
2022-01-11,10.2,0.00,0.00,4.52
2022-01-12,9.9,0.00,0.00,6.09
2022-01-13,10.5,0.00,0.00,5.18
2022-01-14,9.4,0.00,0.00,3.62
2022-01-15,11.0,0.00,0.00,5.94
2022-01-16,10.6,0.00,0.00,4.61
2022-01-17,10.3,0.00,0.00,4.35
2022-01-18,10.3,0.00,0.00,5.16
2022-01-19,9.1,0.00,0.00,5.00
2022-01-20,10.3,0.00,0.00,4.24
2022-01-21,10.8,0.00,0.00,10.38
2022-01-22,12.9,0.00,0.00,9.57
2022-01-23,11.0,0.00,0.00,4.17
2022-01-24,10.5,0.00,0.00,4.44
2022-01-25,9.0,0.00,0.00,4.69
2022-01-26,9.7,0.00,0.00,4.74
2022-01-27,10.0,0.00,0.00,5.80
2022-01-28,10.4,0.00,0.00,4.86
2022-01-29,10.3,0.00,0.00,4.89
2022-01-30,9.6,0.00,0.00,4.40
2022-01-31,9.6,0.00,0.00,4.18
2022-02-01,10.0,0.00,0.00,8.91
2022-02-02,11.5,0.00,0.00,10.46
2022-02-03,10.8,0.00,0.00,4.96
2022-02-04,10.0,0.00,0.00,4.49
2022-02-05,10.3,0.00,0.00,4.40
2022-02-06,10.6,0.00,0.00,4.03
2022-02-07,10.9,0.00,0.00,4.84
2022-02-08,11.7,0.00,0.00,3.98
2022-02-09,12.1,0.00,0.00,5.53
2022-02-10,14.5,0.00,0.00,5.59
2022-02-11,14.1,0.00,0.00,4.53
2022-02-12,14.3,0.00,0.00,4.36
2022-02-13,13.5,0.00,0.00,4.73
2022-02-14,11.6,0.00,0.00,9.40
2022-02-15,10.5,0.00,0.00,10.82
2022-02-16,11.6,0.00,0.00,7.18
2022-02-17,13.4,0.00,0.00,6.90
2022-02-18,12.3,0.00,0.00,5.40
2022-02-19,11.9,0.00,0.00,5.30
2022-02-20,11.0,0.00,0.00,7.62
2022-02-21,9.5,0.00,0.00,10.65
2022-02-22,8.8,1.90,0.00,10.53
2022-02-23,7.4,2.00,0.00,8.30
2022-02-24,7.6,0.00,0.00,7.80
2022-02-25,8.2,0.00,0.00,6.31
2022-02-26,8.8,0.00,0.00,6.26
2022-02-27,11.1,0.00,0.00,4.33
2022-02-28,11.9,0.00,0.00,6.26
2022-03-01,10.7,0.00,0.00,6.01
2022-03-02,11.4,0.00,0.00,7.45
2022-03-03,11.0,1.50,0.00,6.99
2022-03-04,11.3,4.80,0.00,13.63
2022-03-05,8.7,0.00,0.00,13.40
2022-03-06,9.5,0.00,0.00,6.70
2022-03-07,10.9,0.00,0.00,6.97
2022-03-08,11.9,0.00,0.00,6.33
2022-03-09,11.5,0.00,0.00,9.44
2022-03-10,11.8,0.00,0.00,7.92
2022-03-11,12.6,0.00,0.00,5.33
2022-03-12,10.9,0.00,0.00,6.20
2022-03-13,11.5,1.10,0.00,8.20
2022-03-14,10.2,0.00,0.00,5.81
2022-03-15,12.8,4.10,0.00,8.00
2022-03-16,11.9,0.00,0.00,8.10
2022-03-17,11.4,0.00,0.00,9.07
2022-03-18,10.8,0.00,0.00,8.57
2022-03-19,11.3,3.80,0.00,6.71
2022-03-20,10.7,0.20,0.00,8.80
2022-03-21,11.5,0.00,0.00,7.40
2022-03-22,14.4,0.00,0.00,8.22
2022-03-23,13.1,0.00,0.00,7.86
2022-03-24,11.5,0.00,0.00,9.19
2022-03-25,10.8,0.00,0.00,8.32
2022-03-26,11.4,0.00,0.00,9.12
2022-03-27,12.0,0.70,0.00,10.63
2022-03-28,12.7,15.70,0.00,10.09
2022-03-29,11.6,0.50,0.00,9.43
2022-03-30,11.1,0.00,0.00,9.31
2022-03-31,12.0,0.00,0.00,8.12
2022-04-01,11.8,0.00,0.00,7.10
2022-04-02,12.7,0.00,0.00,7.94
2022-04-03,13.0,0.00,0.00,11.20
2022-04-04,11.8,0.00,0.00,10.11
2022-04-05,12.8,0.00,0.00,8.41
2022-04-06,15.0,0.00,0.00,7.52
2022-04-07,17.6,0.00,0.00,6.33
2022-04-08,16.5,0.00,0.00,7.10
2022-04-09,13.3,0.00,0.00,9.96
2022-04-10,14.5,0.00,0.00,11.04
2022-04-11,11.0,3.10,0.00,13.93
2022-04-12,9.6,0.00,0.00,11.57
2022-04-13,9.6,0.00,0.00,10.32
2022-04-14,11.4,8.80,0.00,8.11
2022-04-15,10.5,4.60,0.00,7.78
2022-04-16,12.0,15.60,0.00,10.11
2022-04-17,9.7,0.00,0.00,8.81
2022-04-18,10.6,0.00,0.00,7.81
2022-04-19,13.0,2.20,0.00,8.32
2022-04-20,12.5,0.00,0.00,9.65
2022-04-21,13.0,17.60,0.00,10.45
2022-04-22,11.7,11.70,0.00,9.70
2022-04-23,11.6,0.00,0.00,9.10
2022-04-24,12.5,0.00,0.00,7.38
2022-04-25,12.9,0.00,0.00,9.15
2022-04-26,12.7,0.00,0.00,9.43
2022-04-27,11.8,0.00,0.00,9.95
2022-04-28,11.6,0.00,0.00,11.05
2022-04-29,12.0,0.00,0.00,9.00
2022-04-30,13.4,0.00,0.00,11.10
2022-05-01,12.2,0.00,0.00,9.90
2022-05-02,12.5,0.00,0.00,10.60
2022-05-03,14.0,0.00,0.00,9.20
2022-05-04,12.6,0.00,0.00,8.29
2022-05-05,12.5,0.40,0.00,8.20
2022-05-06,13.5,1.40,0.00,7.33
2022-05-07,13.4,0.00,0.00,11.02
2022-05-08,11.4,0.00,0.00,13.08
2022-05-09,10.6,0.10,0.00,10.98
2022-05-10,10.3,1.20,0.00,11.10
2022-05-11,11.0,0.00,0.00,10.60
2022-05-12,11.5,0.00,0.00,9.70
2022-05-13,13.4,0.00,0.00,10.07
2022-05-14,14.7,0.00,0.00,9.01
2022-05-15,15.1,0.00,0.00,11.00
2022-05-16,13.0,0.00,0.00,11.21
2022-05-17,13.2,0.00,0.00,9.91
2022-05-18,14.8,0.00,0.00,7.93
2022-05-19,18.4,0.00,0.00,8.37
2022-05-20,17.2,0.00,0.00,9.11
2022-05-21,14.4,0.00,0.00,9.90
2022-05-22,14.3,0.00,0.00,8.19
2022-05-23,15.8,0.00,0.00,8.54
2022-05-24,15.8,0.00,0.00,7.96
2022-05-25,17.3,0.00,0.00,9.93
2022-05-26,13.4,0.00,0.00,10.26
2022-05-27,13.6,0.10,0.00,8.91
2022-05-28,12.8,0.00,0.00,8.30
2022-05-29,14.2,0.20,0.00,9.76
2022-05-30,14.2,0.00,0.00,9.41
2022-05-31,14.7,0.00,0.00,9.81
2022-06-01,14.8,0.00,0.00,8.90
2022-06-02,14.9,0.00,0.00,9.85
2022-06-03,13.6,0.00,0.00,9.82
2022-06-04,13.6,0.00,0.00,6.55
2022-06-05,16.6,7.00,0.00,7.82
2022-06-06,15.3,0.00,0.00,9.20
2022-06-07,14.8,0.00,0.00,10.00
2022-06-08,14.7,0.00,0.00,10.37
2022-06-09,16.0,0.00,0.00,9.21
2022-06-10,19.4,0.00,0.00,11.38
2022-06-11,18.5,0.00,0.00,9.31
2022-06-12,15.8,0.30,0.00,8.57
2022-06-13,15.5,0.10,0.00,10.00
2022-06-14,16.8,0.00,0.00,8.82
2022-06-15,16.5,0.00,0.00,10.20
2022-06-16,14.6,0.00,0.00,11.40
2022-06-17,13.8,0.00,0.00,11.43
2022-06-18,13.9,0.10,0.00,10.66
2022-06-19,15.1,0.00,0.00,9.43
2022-06-20,16.4,0.00,0.00,8.25
2022-06-21,20.7,0.00,0.00,9.21
2022-06-22,21.0,0.00,0.00,9.08
2022-06-23,14.6,0.00,0.00,7.45
2022-06-24,13.3,0.00,0.00,8.02
2022-06-25,13.9,0.00,0.00,8.10
2022-06-26,13.7,0.00,0.00,9.06
2022-06-27,13.6,0.00,0.00,9.53
2022-06-28,15.7,0.00,0.00,9.93
2022-06-29,14.5,0.00,0.00,9.56
2022-06-30,13.6,0.00,0.00,9.84
2022-07-01,13.5,0.00,0.00,10.53
2022-07-02,13.5,0.10,0.00,11.81
2022-07-03,14.0,0.00,0.00,11.45
2022-07-04,15.2,0.00,0.00,8.85
2022-07-05,16.9,0.00,0.00,6.65
2022-07-06,15.9,0.10,0.00,8.33
2022-07-07,14.5,0.00,0.00,9.81
2022-07-08,16.4,0.00,0.00,10.20
2022-07-09,15.2,0.00,0.00,10.23
2022-07-10,15.1,0.00,0.00,9.31
